Entity ID,Entity Name,City,Type,Status
742 - 636,The Father & Son of Ozark,"OZARK, AL",Domestic Non-Profit Corporation,Exists
431 - 919,"Father and Son Reasonable Cleaning, L.L.C.","TUSCALOOSA, AL",Domestic Limited Liability Company,Exists
881 - 559,"Father & Son Shoe Stores Co., Inc.","DOVER, DE",Foreign Corporation,Exists
743 - 155,"Father & Son Shoe Stores, Inc.","ENDICOTT, NY",Foreign Corporation,Previous Name
653 - 836,"Father & Son Truck Service, L.L.C.","GREENVILLE, AL",Domestic Limited Liability Company,Exists
742 - 633,"Father, Son and Holy Ghost Church","MONTGOMERY, AL",Domestic Non-Profit Corporation,Exists
101 - 273,"Faulk & Son, Inc.","PHENIX CITY, AL",Domestic Corporation,Exists
033 - 354,Fell & Son,"IRONDALE, AL",Domestic Corporation,Dissolved
030 - 224,"Ferd Weil & Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
275 - 715,"Ferg Us Son Music, LLC",Not Provided,Domestic Limited Liability Company,Exists
314 - 098,Ferguson & Son Scholarship Fund,Not Provided,Domestic Non-Profit Corporation,Exists
944 - 992,"Ferrandino & Son, Inc.","FARMINGDALE, NY",Foreign Corporation,Exists
314 - 973,"Fields & Son, LLC","CARROLLTON, AL",Domestic Limited Liability Company,Exists
125 - 912,"Fields & Son Logging, Inc.","FAYETTE, AL",Domestic Corporation,Exists
204 - 622,"Fifth Son Enterprises, Inc.","CORDOVA, AL",Domestic Corporation,Dissolved
743 - 952,"Fischer & Son Funeral Co., Inc.","CULLMAN, AL",Domestic Corporation,Dissolved
744 - 103,Fitts and Son Trucking Company,"RUSSELLVILLE, AL",Domestic Corporation,Dissolved
929 - 986,FOA & Son Corporation,"NEW YORK, NY",Foreign Corporation,Exists
561 - 459,"FOCUS on this SON Ministries, Inc.","ROANOKE, AL",Domestic Non-Profit Corporation,Exists
744 - 817,"Foley Father-Son Cue Club, Inc.","FOLEY, AL",Domestic Non-Profit Corporation,Exists
359 - 686,"Ford & Son Distributors, LLC",Not Provided,Domestic Limited Liability Company,Exists
104 - 349,"F. R. Hoar & Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Exists
859 - 353,"F. R. Hoar & Son, Inc.","BIRMINGHAM, AL",Foreign Corporation,Previous Name
919 - 410,"Frank Lill & Son, Inc.","WEBSTER, NY",Foreign Corporation,Exists
104 - 989,"Franks & Son Trucking, Inc.","WINFIELD, AL",Domestic Corporation,Dissolved
943 - 309,"Fred M. Smith and Son, Incorporated","SPRINGFIELD, TN",Foreign Corporation,Withdrawn
181 - 416,"Freeman & Son, Inc.","FAYETTE, AL",Domestic Corporation,Exists
890 - 612,"Friedman & Son, Inc.","DENVER, CO",Foreign Corporation,Revoked
410 - 831,"G-Son, LLC","LINDEN, AL",Domestic Limited Liability Company,Dissolved
N/A,Galeas and Son Construction LLC,"Austin, TX",Domestic Limited Liability Company,Name Reservation
469 - 958,"Garner & Son Hauling, LLC","FAIRHOPE, AL",Domestic Limited Liability Company,Exists
395 - 711,GARNER & SON TRUCKING LLC.,Not Provided,Domestic Limited Liability Company,Exists
269 - 324,"Garrett & Son Construction Company, LLC",Not Provided,Domestic Limited Liability Company,Exists
323 - 975,GARRETT AND SON LLC,"Southlake, TX",Foreign Limited Liability Company,Registered Name
767 - 710,G. B. McVay & Son Seed Co.,"BIRMINGHAM, AL",Domestic Corporation,Exists
754 - 178,"G. C. Hill and Son Lumber Company, Inc.","BROOKWOOD, AL",Domestic Corporation,Exists
747 - 716,"Gentry & Son Construction Company, Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
742 - 773,Geo. Fearn & Son,"MOBILE, AL",Domestic Corporation,Exists
742 - 775,"Geo. Fearn & Son, Inc.","MOBILE, AL",Domestic Corporation,Exists
389 - 745,"Geo. V. Bullen & Son, Inc.","NEW HYDE PARK, NY",Foreign Corporation,Exists
282 - 176,"George and Son Construction, LLC",Not Provided,Domestic Limited Liability Company,Exists
713 - 002,"George Banker & Son, Inc.","CHICKASAW, AL",Domestic Corporation,Exists
115 - 673,"George E. Johnson & Son, Inc.","MOBILE, AL",Domestic Corporation,Dissolved
099 - 995,"George Foote & Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
088 - 687,"George P. Holmes and Son Supply, Inc.","TALLADEGA, AL",Domestic Corporation,Exists
748 - 055,"Gilbert & Son Helicopter Service, Inc.","OZARK, AL",Domestic Corporation,Dissolved
185 - 375,"Glass & Son Flooring, Inc.","JACKSONVILLE, AL",Domestic Corporation,Exists
487 - 521,"Glover & Son, L.L.C.","MIDLAND, AL",Domestic Limited Liability Company,Dissolved
215 - 752,"Gold's & Son, Inc.","ATMORE, AL",Domestic Corporation,Dissolved
551 - 675,Good Son Ministries,"ENTERPRISE, AL",Domestic Non-Profit Corporation,Exists
089 - 789,"Gordon Merritt and Son, Inc.","SHAWNMUT, AL",Domestic Corporation,Exists
147 - 189,"Grayson & Son Excavating, Inc.","DEMOPOLIS, AL",Domestic Corporation,Exists
196 - 971,Grayson Carter & Son Contracting Inc.,"ATHENS, AL",Domestic Corporation,Exists
399 - 424,Greenwood & Son Transportation Inc,"MONTGOMERY, AL",Domestic Corporation,Exists
008 - 471,"Gregory and Son Garage, Inc.","TALLASSEE, AL",Domestic Corporation,Exists
192 - 910,"Griggs & Son Enterprises, Inc.","VINEMONT, AL",Domestic Corporation,Dissolved
157 - 362,"Grimes & Son Carpet Ltd., Inc.","ALBERTVILLE, AL",Domestic Corporation,Dissolved
460 - 281,"Grover and Son Alignmment, L.L.C.","OXFORD, AL",Domestic Limited Liability Company,Exists
750 - 338,"Grubbs and Son Construction Company, Inc.","TROY, AL",Domestic Corporation,Dissolved
030 - 028,"G. S. Gothard & Son, Inc.","MONTGOMERY, AL",Domestic Corporation,Dissolved
394 - 051,Gunnerson & Son Trucking LLC,Not Provided,Domestic Limited Liability Company,Exists
858 - 032,Gus T. Handge & Son Painting Company,"ST LOUIS, MO",Foreign Corporation,Revoked
145 - 052,"Guthery & Son Body Shop, Inc.","DANVILLE, AL",Domestic Corporation,Exists
750 - 989,Guthrie and Son Builders,"BIRMINGHAM, AL",Domestic Corporation,Dissolved
750 - 990,"Guthrie and Son Electrical Co., Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
105 - 564,"Guy Marable & Son General Contractors, Inc.","TUSKEGEE, AL",Domestic Corporation,Previous Name
711 - 538,"H. Paul Bailey & Son Builders, Inc.","PENSACOLA, FL",Foreign Corporation,Withdrawn
169 - 315,"H. Ross Rogers & Son, Inc.","MOBILE, AL",Domestic Corporation,Dissolved
938 - 427,"Hagin & Son Plumbing, Inc.","OAKWOOD, GA",Foreign Corporation,Registered Name
138 - 150,"Hallmark & Son Leasing & Truck Sales, Inc.","WARRIOR, AL",Domestic Corporation,Dissolved
752 - 165,"Hamrac and Son, Inc.","MOBILE, AL",Domestic Corporation,Exists
161 - 149,"Hancock and Son, Inc.","FAIRHOPE, AL",Domestic Corporation,Exists
145 - 452,"Hardwick & Son Printing, Inc.","DOTHAN, AL",Domestic Corporation,Exists
238 - 583,"Hargrave and Son Farms, Inc.","ATHENS, AL",Domestic Corporation,Dissolved
930 - 799,"Harman and Son Construction, Inc.","FT WORTH, TX",Foreign Corporation,Exists
295 - 545,"Harold & Son, LLC","Hiram, GA",Foreign Limited Liability Company,Exists
936 - 032,"Harold W. Wells & Son, Incorporated","WILMINGTON, NC",Foreign Corporation,Exists
129 - 212,"Harrelson & Son Contracting Co., Inc., a close corporation","RED LEVEL, AL",Domestic Corporation,Exists
059 - 162,"Harris & Son-General Contractors, Inc.","FAIRHOPE, AL",Domestic Corporation,Exists
752 - 550,"Harris & Son Plumbing, Inc.","CHILDERSBURG, AL",Domestic Corporation,Dissolved
111 - 143,"Harrison & Son, Inc.","FOLEY, AL",Domestic Corporation,Dissolved
777 - 782,"Harry Nick & Son Contracting Co., Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
123 - 982,"Hart and Son Contractors, Inc.","CULLMAN, AL",Domestic Corporation,Dissolved
097 - 572,"Hasty and Son, Inc.","THOMASVILLE, AL",Domestic Corporation,Dissolved
N/A,"Hatch & Son, LLC","Huntsville, AL",Domestic Limited Liability Company,Name Reservation
451 - 417,"Hayles and Son Mobile Home Sales, LLC","ATMORE, AL",Domestic Limited Liability Company,Dissolved
139 - 042,"Haynie & Son Homebuilders, Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
041 - 470,"Hays and Son Oil Co., Inc.","CULLMAN, AL",Domestic Corporation,Exists
117 - 597,"H. C. Moore & Son, Inc.","MARION, AL",Domestic Corporation,Previous Name
111 - 785,"H.C. Taylor & Son, Inc.","BERRY, AL",Domestic Corporation,Dissolved
793 - 947,"H. E. Shropshire & Son Commission Co., Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
508 - 125,"Head and Son, LLC",Not Provided,Domestic Series Limited Liability Company,Exists
929 - 581,"Heber E. Costello & Son, Inc.","OAK GROVE, LA",Foreign Corporation,Exists
210 - 614,"Hendry & Son Electric, Inc.","CHUNCHULA, AL",Domestic Corporation,Dissolved
106 - 661,"Henning & son, Inc.","SEMMES, AL",Domestic Corporation,Dissolved
853 - 116,"H. G. Harders & Son, Inc.","PANAMA CITY, FL",Foreign Corporation,Exists
081 - 316,"Hill And Son Moving and Storage, Inc.","BIRMINGHAM, AL",Domestic Corporation,Exists
318 - 526,Hill & Son Moving Solutions LLC,Not Provided,Domestic Limited Liability Company,Exists
662 - 368,"Hill & Son/Week-end Movers, L.L.C.","PRATTVILLE, AL",Domestic Limited Liability Company,Dissolved
917 - 606,"H.J. Martin & Son, Inc.","GREEN BAY, WI",Foreign Corporation,Exists
785 - 612,"H. L. Putman & Son, Inc.","ONEONTA, AL",Domestic Corporation,Dissolved
314 - 108,"H L Shierling & Son, Inc.",Not Provided,Domestic Corporation,Exists
743 - 155,"HM Father and Son Shoes, Inc.","ENDICOTT, NY",Foreign Corporation,Withdrawn
046 - 104,"Holland & Son, Inc.","HUNTSVILLE, AL",Domestic Corporation,Exists
521 - 778,"Honey & Son, LLC",Not Provided,Domestic Limited Liability Company,Exists
684 - 403,"Hornsby & Son Body Shop, L.L.C.","TALLASSEE, AL",Domestic Limited Liability Company,Exists
755 - 601,Hosmer & Son Motor Company,"BROOKWOOD, AL",Domestic Corporation,Dissolved
126 - 940,"Hoss & Son Trucking, Inc.","YORK, AL",Domestic Corporation,Dissolved
755 - 695,"House & Son Refrigeration & Air Conditioning Co., Inc.","HOLLY POND, AL",Domestic Corporation,Dissolved
153 - 501,"Houston & Son Sandblasting Specialists, Inc.","MONTGOMERY, AL",Domestic Corporation,Dissolved
939 - 312,"Howard Fry & Son, Inc.","CARMEL, IN",Foreign Corporation,Withdrawn
136 - 394,"Hoyt Lane and Son Plumbing, Inc.","RUSSELLVILLE, AL",Domestic Corporation,Exists
259 - 020,"Hoyt Lane & Son Plumbing Service, Inc.","RUSSELLVILLE, AL",Domestic Corporation,Dissolved
053 - 338,"H. T. Coate and Son, Inc.","JACKSON, AL",Domestic Corporation,Exists
580 - 315,"HUD-SON SAWMILLS OF PELL CITY, LLC",Not Provided,Domestic Limited Liability Company,Exists
690 - 965,"Hudgins & Son Trucking, L.L.C.","CARROLTON, AL",Domestic Limited Liability Company,Dissolved
061 - 875,"Hudspeth & Son Logging Co., Inc.","ABBEVILLE, AL",Domestic Corporation,Exists
363 - 083,Hughes & Son LLC,Not Provided,Domestic Limited Liability Company,Dissolved
756 - 808,Huguley and Son Coal Company,"WINFIELD, AL",Domestic Corporation,Dissolved
148 - 463,"Humphries & Son Trucking, Inc.","HAMILTON, AL",Domestic Corporation,Dissolved
756 - 834,"Hutcherson and Son, Inc.","SPRINGVILLE, AL",Domestic Corporation,Dissolved
717 - 126,"H. W. Blackman and Son, Incorporated","BIRMINGHAM, AL",Domestic Corporation,Exists
721 - 834,"H. W. Caldwell & Son, Inc.","ASHLAND CITY, TN",Foreign Corporation,Withdrawn
930 - 443,"H. W. Krauth & Son, Inc.","LOUISVILLE, KY",Foreign Corporation,Withdrawn
150 - 472,"H. W. Watson & Son Logging, Inc., a close corporation","VINA, AL",Domestic Corporation,Exists
701 - 839,"H. Y. Akers & Son, Incorporated","GUIN, AL",Domestic Corporation,Dissolved
000 - 370,"I. E. Airheart & Son, Inc.","SCOTTSBORO, AL",Domestic Corporation,Dissolved
003 - 330,"I. L. Burt & Son Lumber Co., Inc.","WEST BLOCTON, AL",Domestic Corporation,Previous Name
754 - 724,"I. L. Holland & Son, Inc.","DOTHAN, AL",Domestic Corporation,Dissolved
178 - 104,"Inman & Son Seed & Feed, Inc.","RUSSELLVILLE, AL",Domestic Corporation,Dissolved
091 - 609,"Irving and Son, Inc.","SCOTTSBORO, AL",Domestic Corporation,Exists
924 - 426,"Ivan Ware & Son, Inc.","LOUISVILLE, KY",Foreign Corporation,Exists
890 - 939,"J. Fletcher Creamer & Son, Inc.","HACKENSACK, NJ",Foreign Corporation,Withdrawn
913 - 293,"J. Fletcher Creamer & Son, Inc.","HACKENSACK, NJ",Foreign Corporation,Exists
011 - 223,"J. Leet & Son, Inc.","SELMA, AL",Domestic Corporation,Dissolved
764 - 722,J. Lennon & Son Warehouse Company,"HALEYVILLE, AL",Domestic Corporation,Exists
781 - 243,"J. Steve Parker & Son, Inc.","TUSCALOOSA, AL",Domestic Corporation,Dissolved
345 - 447,"J.A. Fleming & Son, L.L.C.",Not Provided,Domestic Limited Liability Company,Exists
220 - 157,"J.A. Minter & Son Cotton Gin, Inc.","TYLER, AL",Domestic Corporation,Previous Name
090 - 368,"J. A. Wise & Son Farms, Inc., a close corporation","SAMSON, AL",Domestic Corporation,Exists
048 - 570,"Jack Neal and Son Auto Sales, Inc.","BESSEMER, AL",Domestic Corporation,Exists
062 - 005,"Jackson & Son Hardware & Supply, Inc.","PINE HILL, AL",Domestic Corporation,Dissolved
051 - 097,"JACKSON & SON INTERNATIONAL, LLC",Not Provided,Domestic Limited Liability Company,Dissolved
275 - 879,Jackson and Son Trucking LLC,"MONTGOMERY, AL",Domestic Limited Liability Company,Exists
392 - 828,James and Son Flooring and Remodeling LLC,Not Provided,Domestic Limited Liability Company,Exists
200 - 750,"James and Son Metal Products, Inc.","HARTSELLE, AL",Domestic Corporation,Exists
925 - 122,"James A. Scott & Son, Incorporated","LYNCHBURG, VA",Foreign Corporation,Exists
042 - 000,"JAMES E. BOX AND SON TRUCKING CO., INC.","WINFIELD, AL",Domestic Corporation,Exists
671 - 021,"James E Ward & Son Co, L.L.C.","GENEVA, AL",Domestic Limited Liability Company,Exists
057 - 544,"James H. Adams & Son Construction Company, Inc.","MOBILE, AL",Domestic Corporation,Exists
011 - 330,"James H. Lewis & Son, Incorporated","COTTONWOOD, AL",Domestic Corporation,Dissolved
705 - 699,"James J.Alvarez & Son, Inc.","MOBILE, AL",Domestic Corporation,Exists
157 - 660,"James Kyser & Son, Inc.","MOBILE, AL",Domestic Corporation,Exists
046 - 301,"James Moore & Son Builders, Inc.","DECATUR, AL",Domestic Corporation,Exists
093 - 230,"Jax-Son Enterprises, Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
488 - 432,"Jay & Son General Contractors, LLC","PELL CITY, AL",Domestic Limited Liability Company,Exists
488 - 431,"Jay & Son Homes, LLC","PELL CITY, AL",Domestic Limited Liability Company,Dissolved
271 - 571,"JAY & SON, LLC",Not Provided,Domestic Limited Liability Company,Dissolved
182 - 190,"J.B. & Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Exists
385 - 670,JB & Son Welding LLC,Not Provided,Domestic Limited Liability Company,Exists
093 - 715,"J. B. Hill & Son Jewelers, Inc.","HUNTSVILLE, AL",Domestic Corporation,Exists
704 - 950,"J. C. Allday and Son Builders, Inc.","WAGARVILLE, AL",Domestic Corporation,Dissolved
764 - 095,"J. C. Lawrence & Son, Incorporated","FAYETTE, AL",Domestic Corporation,Exists
324 - 889,"JD & Son, LLC",Not Provided,Domestic Limited Liability Company,Exists
895 - 753,"J. E. Crain & Son, Inc.","NASHVILLE, TN",Foreign Corporation,Previous Name
031 - 284,"J.E. Walker & Son, Inc.",Not Provided,Domestic Corporation,Exists
759 - 990,"Jeff & Son, Inc.","BESSEMER, AL",Domestic Corporation,Dissolved
882 - 188,"Jesse S. Morie & Son, Inc.","FOLSOM, NJ",Foreign Corporation,Previous Name
765 - 901,"J F Locke & Son, Inc.","HUNTSVILLE, AL",Domestic Corporation,Dissolved
015 - 350,"J. F. Rainer & Son, Incorporated","REFORM, AL",Domestic Corporation,Exists
755 - 318,"J. H. Hood & Son, Inc.","KNOXVILLE, TN",Foreign Corporation,Withdrawn
767 - 093,J. H. Lowe & Son Motor Express Inc.,"GADSDEN, AL",Domestic Corporation,Exists
358 - 002,JJ & Son Transport LLC,Not Provided,Domestic Limited Liability Company,Exists
716 - 977,"J. K. Bitto & Son, Inc.","ELBERTA, AL",Domestic Corporation,Dissolved
720 - 404,"J. M. Burchfield & Son, Inc.","TUSCALOOSA, AL",Domestic Corporation,Dissolved
663 - 681,"J.M. Garrett & Son, L.L.C.","MONTGOMERY, AL",Domestic Limited Liability Company,Exists
811 - 841,"J. M. Willis & Son, Inc.","DADEVILLE, AL",Domestic Corporation,Dissolved
458 - 786,"JMB & Son, LLC","TUSKEGEE, AL",Domestic Limited Liability Company,Exists
770 - 186,"J. N. May & Son Company, Inc.","FLORENCE, AL",Domestic Corporation,Exists
721 - 298,"Jno. H. Swisher and Son, Inc.","JACKSONVILLE, FL",Foreign Corporation,Previous Name
853 - 817,"Jno. H. Swisher & Son, Inc.","WILMINGTON, DE",Foreign Corporation,Previous Name
008 - 182,"Joe Goldstein & Son, Inc.","HUNTSVILLE, AL",Domestic Corporation,Exists
081 - 369,"Joe Hill & Son Welding & Fabricating, Incorporated","MOBILE, AL",Domestic Corporation,Exists
924 - 617,"Joe Morten & Son, Inc.","SOUTH SIOUX CITY, NE",Foreign Corporation,Exists
791 - 358,"Joe Schneider and Son, Inc.","FAIRHOPE, AL",Domestic Corporation,Dissolved
798 - 612,"John A. Stanley & Son Crane & Trucking Company, Inc.","MOBILE, AL",Domestic Corporation,Exists
021 - 733,"John Allen Jones & Son, Agency, Inc.","OPELIKA, AL",Domestic Corporation,Exists
760 - 985,John Allen Jones & Son Inc.,"OPELIKA, AL",Domestic Corporation,Dissolved
883 - 866,"John B. Pike & Son, Inc.","ROCHESTER, NY",Foreign Corporation,Withdrawn
732 - 205,"John Cruse & Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Exists
883 - 097,"John Ed Smith & Son, Incorporated","KNOXVILLE, TN",Foreign Corporation,Revoked
818 - 041,"John L. Wortham & Son, L.P.","HOUSTON, TX",Foreign Limited Partnership,Withdrawn
386 - 447,"John Savoy & Son, Inc","MONTOURSVILLE, PA",Foreign Corporation,Exists
204 - 954,"Johnathan Mitchell & Son, Inc.","FAIRHOPE, AL",Domestic Corporation,Exists
053 - 792,"Johnny J. Smith & Son Construction Co., Inc.",Not Provided,Domestic Corporation,Exists
110 - 012,"Johnson & Son Cabinet Shop, Inc.","JACKSONVILLE, AL",Domestic Corporation,Exists
130 - 288,"Johnson & Son Enterprises, Inc.","DOUBLE SPRINGS, AL",Domestic Corporation,Exists
760 - 721,"Johnson & Son, Inc.","MOBILE, AL",Domestic Corporation,Exists
272 - 843,"JOHNSON & SON, LLC",Not Provided,Domestic Limited Liability Company,Dissolved
519 - 166,"Johnson & Son Tree Service, LLC",Not Provided,Domestic Limited Liability Company,Exists
430 - 710,"Jones & Son Construction, LLC","MONTGOMERY, AL",Domestic Limited Liability Company,Exists
431 - 046,"Jones & Son Drywall, LLC","MONTGOMERY, AL",Domestic Limited Liability Company,Exists
451 - 636,"Jones & Son, LLC","BIRMINGHAM, AL",Domestic Limited Liability Company,Exists
658 - 525,"Jones & Son, L.L.C.","TRUSSVILLE, AL",Domestic Limited Liability Company,Previous Name
141 - 610,"Jordan & Son, Inc.","MOBILE, AL",Domestic Corporation,Merged
745 - 694,"Jordan and Son, Inc.","GREENVILLE, AL",Domestic Corporation,Dissolved
911 - 129,"Joseph T. Ryerson & Son, Inc.","CHICAGO, IL",Foreign Corporation,Exists
781 - 915,J. P. Pearce & Son Co.,"TEXAS, AL",Domestic Corporation,Exists
781 - 924,J. P. Pearce & Son Company,"CARBON HILL, AL",Domestic Corporation,Exists
884 - 774,"J. R. Graham & Son, Inc.","HIGH POINT, NC",Foreign Corporation,Withdrawn
034 - 334,"J. R. McCleney & Son, Contractors, Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
036 - 405,JS Son LLC,"MONTGOMERY, AL",Domestic Limited Liability Company,Previous Name
930 - 315,"J. S. Ward & Son, Inc.","ARTESIA, NM",Foreign Corporation,Exists
737 - 392,"J. T. Dugger & Son, Inc.","NASHVILLE, TN",Foreign Corporation,Withdrawn
762 - 565,"J. T. Knight and Son, Inc.","BIRMINGHAM, AL",Foreign Corporation,Withdrawn
129 - 712,"J.T. Porter & Son Trucking, Inc.","JEMISON, AL",Domestic Corporation,Exists
905 - 786,"J.T. Thorpe & Son, Inc.","RICHMOND, CA",Foreign Corporation,Exists
748 - 693,Julius Goldstein & Son,"MOBILE, AL",Domestic Corporation,Dissolved
008 - 183,"Julius Goldstein & Son, Inc.","MOBILE, AL",Domestic Corporation,Exists
748 - 858,"Julius Goldstein & Son, Inc.","MOBILE, AL",Domestic Corporation,Previous Name
084 - 271,"J. W. Key and Son Oil Company, Inc.","DECATUR, AL",Domestic Corporation,Exists
890 - 799,"J.W. Markham & Son, Inc.","LAVERGNE, TN",Foreign Corporation,Exists
180 - 135,"J. W. Thomas & Son, Inc.","SMITHS, AL",Domestic Corporation,Dissolved
763 - 033,"Keith & Son Towing Company, Inc.","WILMER, AL",Domestic Corporation,Exists
235 - 333,"Kelley and Son Contractor, Inc.","ATHENS, AL",Domestic Corporation,Exists
814 - 867,Kendall and Son Ltd.,"ROYSE CITY, TX",Foreign Limited Partnership,Exists
677 - 381,"Kennedy & Son Properties, LLC","ALABASTER, AL",Domestic Limited Liability Company,Exists
860 - 688,"Kermit B. Buck and Son, Inc.","MEMPHIS, TN",Foreign Corporation,Revoked
220 - 285,"Kervin & Son, Inc.","RED LEVEL, AL",Domestic Corporation,Dissolved
577 - 542,Kilgore and Son Construction L.L.C.,Not Provided,Domestic Professional Limited Liability Company,Exists
475 - 601,"Kilowatt & Son, L.L.C.","GLENCOE, AL",Domestic Limited Liability Company,Exists
536 - 821,"King & Son, LLC",Not Provided,Domestic Limited Liability Company,Exists
252 - 078,"King & Son Properties, Inc.","LOCUST FORK, AL",Domestic Corporation,Exists
268 - 041,"KLEIN & SON CONSTRUCTION, L.L.C.",Not Provided,Domestic Limited Liability Company,Exists
010 - 781,"Klein & Son, Inc.","MONTGOMERY, AL",Domestic Corporation,Exists
240 - 902,"KNIGHT & SON TRANSPORTATION, INC.","TROY, AL",Domestic Corporation,Exists
407 - 664,"L. Fishman & Son, Inc.","BALTIMORE, MD",Foreign Corporation,Exists
009 - 985,"L. Irwin & Son, Inc.","FOLEY, AL",Domestic Corporation,Exists
373 - 326,"L. Irwin and Son Supply, LLC",Not Provided,Domestic Limited Liability Company,Exists
012 - 691,"L. Miller & Son, Inc.","HUNTSVILLE, AL",Domestic Corporation,Exists
812 - 741,L. Mundet & Son Incorporated of Tennessee,"MEMPHIS, TN",Foreign Corporation,Withdrawn
544 - 640,L-Wood & Son Lawncare LLC,Not Provided,Domestic Limited Liability Company,Exists
016 - 359,"L. A. Draper & Son, Inc.","BIRMINGHAM, AL",Domestic Corporation,Dissolved
737 - 125,"L. A. Draper and Son, Inc.","ANNISTON, AL",Domestic Corporation,Dissolved
015 - 876,L. A. Roll and Son Cattle Company,"MONTGOMERY, AL",Domestic Corporation,Previous Name
192 - 739,"Lacon & Son Trucking, Inc.","GREENSBORO, AL",Domestic Corporation,Exists
487 - 710,"LaFavor & Son, LLC","DECATUR, AL",Domestic Limited Liability Company,Exists
373 - 724,"Lane and Son, LLC",Not Provided,Domestic Limited Liability Company,Exists
295 - 784,LARRY WELLS & SON LLC,Not Provided,Domestic Limited Liability Company,Exists
582 - 385,Lassiter & Son Farms LLC,Not Provided,Domestic Limited Liability Company,Exists
148 - 221,"Latham & Son Contractors, Inc.","TUSCALOOSA, AL",Domestic Corporation,Dissolved
491 - 168,"Lauderdale & Son, L.L.C.","ATHENS, AL",Domestic Limited Liability Company,Dissolved
496 - 288,"Lawler and Son Farm, LLC","MONTEVALLO, AL",Domestic Limited Liability Company,Exists
