Business Name,Control Number,Business Type,Principal Office Address,Registered / Designated Agent Name,Status
"'CILLE'S DAUGHTER, LLC",12067672,Domestic Limited Liability Company,"4261 Wrexham Court, Snellville, GA, 30039, USA","Washington, Robbyn",Admin. Dissolved
"2 Daughters Enterprise, LLC",19132132,Domestic Limited Liability Company,"705 Buckingham Terrace, Fairburn, GA, 30213, USA",Mario Miller,Active/Compliance
2 daughters logistics,,Name Reservation,NONE,NONE,Redeemed
2 daughters logistics LLC,17108704,Domestic Limited Liability Company,"1807 ASHBOROUGH CIRCLE, APT C, MARIETTA, GA, 30067, USA",CAROLINE M GITONGA,Active/Compliance
"2 Sisters Daughters,",,Name Reservation,NONE,NONE,Expired
"2 Sisters Daughters, LLC",19085251,Domestic Limited Liability Company,"2910 Botany Drive, Jonesboro, GA, 30236, USA",April Ivey,Active/Compliance
"2 Sons and 4 Daughters, LLC",15022129,Domestic Limited Liability Company,"4842 Jimmy Carter Blvd., Ste. C, Norcross, GA, 30093, USA",Agent Resigned,Active/Compliance
3 Daughters Construction LLC.,18153492,Domestic Limited Liability Company,"5475 Fort Fisher Way, Peachtree Corners, GA, 30092, USA",Brandon Dana Collier,Active/Compliance
"3 Sons and A Daughter Productions, LLC",17010147,Domestic Limited Liability Company,"2201 Summerwalk Pkwy, Tucker, GA, 30084, USA",Malak Abdus-Salaam,Admin. Dissolved
6 DAUGHTERS CATTLE RANCH LLC,11082343,Domestic Limited Liability Company,"476 NW Boundary Drive, Port St Lucie, FL, 34986, USA",Zollie Lenton Smith,Terminated
"A DAUGHTER'S DREAM, INC.",334655,Domestic Profit Corporation,"108 ARNOLD MILL RD, WOODSTOCK, GA, 30188, USA",KIM KOZAK,Admin. Dissolved
"A Daughter's Hands, LLC",16095874,Domestic Limited Liability Company,"110 Tolomato Trce, St. Simons Island, GA, 31522-1812, USA",Lila Magbee,Admin. Dissolved
A DAUGHTER'S LOVE CORP.,15044915,Domestic Nonprofit Corporation,"6992 CHASEWATER LANE, AUSTELL, GA, 30168, USA","UNITED STATES CORPORATION AGENTS, INC.",Admin. Dissolved
"A Daughter's Love Home Care, Inc",17057431,Domestic Nonprofit Corporation,"919 CORDER ROAD APT 44, WARNER ROBINS, GA, 31088, USA","Dana Lewis, Denise",Admin. Dissolved
A DAUGHTER'S PROMISE LLC,19114263,Domestic Limited Liability Company,"1006 Fayetteville Rd, Atlanta, GA, 30316, USA",Shaketia Holloway,Active/Compliance
"A Father Daughter Trucking, LLC",19025137,Domestic Limited Liability Company,"1231 Scenic Brook Trl, Conyers, GA, 30094, USA",Pashae L Williams,Active/Compliance
A King's Daughter Publishing Company LLC,14057293,Name Reservation,NONE,NONE,Redeemed
A King's Daughter Publishing Company LLC,14061336,Domestic Limited Liability Company,"36 Pine Grove Circle, Newnan, GA, 30263, USA",Coretha Lashawn McCall,Active/Compliance
A.G.L A Granddaughter's Love LLC,17068711,Domestic Limited Liability Company,"4552 Country Glen Cir, Grovetown, GA, 30813, USA",Sharon Rivers,Admin. Dissolved
"AH-MAE'S-ZING DAUGHTERS PUBLISHING, LLC",12050452,Domestic Limited Liability Company,"5591 Halsey Trace, Atlanta, GA, 30349, USA","Waters-Winston, Andrea",Active/Compliance
"Alfa Daughters Embroidery, LLC",16097941,Domestic Limited Liability Company,"945 Willow Run, Stone Mountain, GA, 30088, USA",Veronicia Morgan,Active/Compliance
Amelia's Daughter LLC,17083267,Domestic Limited Liability Company,"219 Plantation Trail, Statesboro, GA, 30458, USA",Patricia H Bosse,Admin. Dissolved
"Anna's Daughter's Real Estate Development, LLC",19149061,Domestic Limited Liability Company,"2531 Brentford Pl, Decatur, GA, 30032, USA",Elizabeth Darlene Scott,Active/Compliance
"ARNOLD AND DAUGHTER, INC.",K501563,Domestic Profit Corporation,"138 VAUGHAN ST, PORTLAND, ME, 04102-3532, USA",SCOTT A. FISHER,Admin. Dissolved
"As Her Daughters Extends Their Hands, INC.",18147263,Domestic Nonprofit Corporation,"49 boulevard se, apt 444, atlanta, GA, 30312, USA",Abraham Bell,Admin. Dissolved
"As Long As My Daughter, Inc.",14087876,Domestic Nonprofit Corporation,"584 Mayland Ave Sw, Atlanta, GA, 30310","United States Corporation Agents, Inc.",Admin. Dissolved
"Aspired Unity Initiative, Inc.",13466703,Domestic Nonprofit Corporation,"925 Nottingham Drive, Dublin, GA, 31021, USA",Brandon L. Wilcher,Active/Compliance
ATL Five Daughters Bakery LLC,18027354,Foreign Limited Liability Company,"675 Ponce De Leon Ave. NE, Atlanta, GA, 30308, USA",Dean Grace,Active/Compliance
"AUSTIN & DAUGHTERS,LLC",12028688,Domestic Limited Liability Company,"3466 OWENS LANDING DRIVE, Kennesaw, GA, 30152","Austin, Benjamin",Admin. Dissolved
BEVERLY & DAUGHTERS INC,17030398,Domestic Profit Corporation,"3949 WINTERS CHAPPEL RD, DORAVILLE, GA, 30360, USA",BEVERLY SIERRA,Admin. Dissolved
Bobby's Daughter Foundation LLC,16026425,Domestic Limited Liability Company,"217 Salem Chase Way, Conyers, GA, 30013, USA",Leesa Lewis,Admin. Dissolved
"BRIER CREEK CHAPTER DAUGHTERS OF THE AMERICAN REVOLUTION, INC.",K329063,Domestic Nonprofit Corporation,"118 DIXIE AVE, SYLVANIA, GA, 30467-2353, USA",COROLINE POPE,Admin. Dissolved
"BROKEN TO WHOLENESS DAUGHTERS OF THE KING WOMEN MINISTRIES INTERNATIONAL, INC.",,Name Reservation,"9413 WATER EDGE DR., JONESBORO, GA, 30236, USA",NONE,Expired
"BUFORD AND DAUGHTERS, LLC",7012604,Domestic Limited Liability Company,"409 ALLENVILLE RD, Nashville, GA, 31639, USA",BUFORD KNOWLES,Admin. Dissolved
"Building Up Daughters and Sons, Inc., BUDS",13448689,Domestic Nonprofit Corporation,"3435 Roosevelt Hwy., Red Oak, GA, 30272-2312",Rasheena Nash,Admin. Dissolved
"CAMILLE & DAUGHTERS, LIMITED LIABILITY COMPANY",7080914,Domestic Limited Liability Company,"P O Box 582, Norcross, GA, 30091","Segers, Camille",Admin. Dissolved
"CAMPBELL DAUGHTER & SONS, INC.",H506779,Domestic Profit Corporation,"6237 HWY. 87, MACON, GA, 31210, USA","ERNEST CHESTER CAMPBELL,SR",Admin. Dissolved
"CARING DAUGHTERS, L.L.C",9035442,Domestic Limited Liability Company,"P.O. Box 18268, Atlanta, GA, 30316","Dee, Judy",Admin. Dissolved
"CARL & VIKKI'S DAUGHTER, INC.",682600,Domestic Profit Corporation,"730 BISHOP POINT, Fairburn, GA, 30213",CORPORATION SERVICE COMPANY,Converted
"CARL & VIKKI'S DAUGHTER, LLC",634803,Domestic Limited Liability Company,"730 BISHOP POINT, Fairburn, GA, 30213, USA",NONE,Converted
"CARL & VIKKI'S DAUGHTER, LLC",7045057,Domestic Limited Liability Company,"3113 Lenox Rd. N.E., Townhouse #4, Atlanta, GA, 30324",Glennetta Joye Chin,Active/Compliance
Carliss Daughters Inc.,13392153,Domestic Nonprofit Corporation,"1143 Annie Lane, Mableton, GA, 30126, USA",Katura Barnes,Active/Compliance
"Carmen's Daughters, LLC",17077213,Domestic Limited Liability Company,"455 Boxelder Rd., Atlanta, GA, 30349, USA",Monique Simms,Admin. Dissolved
"Carol's Daughter Learning Center Foundation, Inc",17077800,Domestic Nonprofit Corporation,"1415 Hwy 85 N, Suite 310-413, Fayetteville, GA, 30214, USA",Ms. Eugia Cannon,Active/Compliance
"Carol's Daughter Learning Center Foundation, INC.",13432512,Name Reservation,NONE,NONE,Expired
"CAROL'S DAUGHTER LEARNING CENTER, LLC",12049305,Domestic Limited Liability Company,"164 Tiffany Trace, Palmetto, GA, 30268, USA","Cannon, Eugia Jones",Active/Compliance
Charlies Daughter LLC,16021335,Domestic Limited Liability Company,"195 Dix Lee On Drive, P.O. Box 143444, Fayetteville, GA, 30214, USA","Elfreda Smart, Faye",Active/Compliance
"CHATHAM COUNTY COUNCIL OF THE KING'S DAUGHTERS AND SON, INC.",H501543,Domestic Nonprofit Corporation,"5715 SKIDAWAY RD, SAVANNAH, GA, 31406-2266, USA","BRIDGERS, JERRY",Admin. Dissolved
Cheatham & Daughters,,Name Reservation,NONE,NONE,Expired
"Cheatham and Daughters, LLC",17002896,Domestic Limited Liability Company,"2711 Peyton Springs Circle SW, Atlanta, GA, 30311, USA",Derek Cheatham,Active/Compliance
"COLLINS & DAUGHTER, INC.",J911167,Domestic Profit Corporation,"890 BETHANY RD, COVINGTON, GA, 30016-8710, USA",MICHAEL TERRELL & ASSOCIATES,Admin. Dissolved
"CORNELIUS WILLIAMS, JR. & DAUGHTERS INSURANCE AGENCY, INC.",7034825,Domestic Profit Corporation,"2382 CANDLER ROAD, Decatur, GA, 30032",NONE,Dissolved
"Covenant Daughters of Promise Inc. ,",15096627,Domestic Nonprofit Corporation,"1727 Valencia Road, Decatur, GA, 30032, USA",Cathy Douglas,Active/Compliance
"CREATIVE DAUGHTERS, INC",12060751,Domestic Nonprofit Corporation,"1050 NEW HOPE ROAD, Atlanta, GA, 30331","Greene, Anita",Admin. Dissolved
CROFT & DAUGHTERS LLC,6109441,Domestic Limited Liability Company,"504 Broad Street, suite 5, LaGrange, GA, 30240, USA","Croft, Carl Vincent",Admin. Dissolved
D.A.U.G.H.T.E.R.S. VISION INC.,10016387,Domestic Nonprofit Corporation,"41 Meadow Crest Way, Powder Springs, GA, 30127","Nunley, Antoryeal Shakirah",Admin. Dissolved
"DAD & DAUGHTER LANDSCAPING COMPANY, INC.",J417367,Domestic Profit Corporation,"3530 MILLER FARMS LN, DULUTH, GA, 30096-2973, USA",REETZ JULIE,Admin. Dissolved
"DAD & DAUGHTER, LLC",139269,Domestic Limited Liability Company,"PO BOX 1595, ATLANTA, GA, 30301, USA",JOHN R MAPP SR,Admin. Dissolved
"DAD AND HIS DAUGHTER, LLC",7048017,Domestic Limited Liability Company,"219 BATES ROAD, Cartersville, GA, 30120","Harris R. Thompson, Jr.",Active/Compliance
"DADDY & DAUGHTER AFFAIRS,LLC",10077200,Domestic Limited Liability Company,"P.O BOX 466, REDAN, GA, 30074, USA","MARCUS, SUGEAN J",Admin. Dissolved
"DADDY & DAUGHTER EXQUISITE CLEANING/JANITORIAL SERVICES, LLC",154152,Domestic Limited Liability Company,"3237 BOBOLINK DR, DECATUR, GA, 30032-3708, USA",W. J. ATKINSON,Admin. Dissolved
"Daddy & Daughter Investments, LLC",18093541,Domestic Limited Liability Company,"101 Cedar Point Drive, Savannah, GA, 31405, USA",JOZEF BICERANO,Active/Compliance
"Daddy Daughter Dance Columbus, LLC",16015138,Domestic Limited Liability Company,"58 Meadow Valley Court, Midland, GA, 31820, USA","UNITED STATES CORPORATION AGENTS, INC.",Admin. Dissolved
"Daddy Daughter Dance of Albany, GA., LLLP",19029967,Domestic Limited Liability Limited Partnership,"4616 Browns Mill Lane, Lithonia, GA, 30038, USA",Felecia Avila-Frayall,Active/Compliance
DADDY DAUGHTER RENTALS LLC,15080994,Domestic Limited Liability Company,"18 Rushy Glen, Blairsville, GA, 30512, USA",Stephen Maddaleni,Active/Compliance
DADDY'S DAUGHTERS INC,11002107,Domestic Nonprofit Corporation,"704 Pecan Knoll Drive, Marietta, GA, 30008","Andrews, Lina Norell",Admin. Dissolved
"DADS & DAUGHTERS, LLC",652852,Domestic Limited Liability Company,"12926 HWY 92 STE 500, WOODSTOCK, GA, 30188",NONE,Admin. Dissolved
Dads For Daughters Foundation Inc.,15019936,Domestic Nonprofit Corporation,"1453 Twin Branches Circle, Marietta, GA, 30067",Arious Salley,Admin. Dissolved
Darrell Carisha and Daughters Logistics LLC,19044494,Domestic Limited Liability Company,"621 Howell Dr, Locust Grove, GA, 30248, USA",Darrell Miller,Active/Compliance
Darrell Carisha and Daughters Trucking,,Name Reservation,NONE,NONE,Expired
"Daughter Depot, L.L.C.",19046298,Domestic Limited Liability Company,"602 McAfee Street, Atlanta, GA, 30313, USA","VCORP AGENT SERVICES, INC.",Active/Compliance
Daughter for Hire,,Name Reservation,NONE,NONE,Expired
Daughter for Hire,,Name Reservation,NONE,NONE,Expired
"Daughter for Hire, LLC",17016009,Domestic Limited Liability Company,"3645 Marketplace Blvd, 130-637, East Point, GA, 30344, USA",Sonya Sellers,Active/Compliance
DAUGHTER NEMIT E SEVGI WHITE INC.,9088014,Domestic Nonprofit Corporation,"1241 Lambeth Way SE, conyers, GA, 30013, USA",No Registered Agent Data Available,Admin. Dissolved
DAUGHTER OF EVE LLC,15081298,Domestic Limited Liability Company,"1112 SIMONTON GLEN WAY, LAWRENCEVILLE, GA, 30045, USA",LEGALINC CORPORATE SERVICES INC.,Admin. Dissolved
DAUGHTER OF LYONS CLEANING SERVICES L.L.C.,15078771,Domestic Limited Liability Company,"640 Peachtree Trails Dr., Suwanee, GA, 30024, USA",Ivey McLain,Admin. Dissolved
Daughter of Music LIMITED LIABILITY COMPANY,16072981,Domestic Limited Liability Company,"Post Office Box 161985, Riverdale, GA, 30274, USA","Victoria Wilson, Rochell",Active/Compliance
"Daughter of the King, LLC",14038374,Domestic Limited Liability Company,"18 Kiwi Court, Monticello, GA, 31064",Cynthia Ann Stockton,Admin. Dissolved
DAUGHTER OF ZION 8 LLC,10078477,Domestic Limited Liability Company,"3384 mt. zion rd , apt 1107, stockbridge, GA, 30281","casiano, iris jasmin",Admin. Dissolved
"DAUGHTER OF ZION BIBLE CENTER MINISTRY, INC.",404683,Domestic Nonprofit Corporation,"701 E. Calhoun St, Thomasville, GA, 31792, USA",Thelma Cody,Admin. Dissolved
Daughter of Zion Jewels LLC,19158155,Domestic Limited Liability Company,"1911 Brady Dr, Unit 4, Dalton, GA, 30720, USA",Saira Florinda Dominguez-Dudley,Active/Compliance
DAUGHTER SISTER FRIEND LLC,8053941,Domestic Limited Liability Company,"1221 Eagles Pass, McDonough, GA, 30253, USA","Loughrey, Angelina",Admin. Dissolved
Daughter Vodou LLC,19148107,Domestic Limited Liability Company,"950 Spring Ives, Lawrenceville, GA, 30043, USA",Christina Coffman,Active/Compliance
"Daughter's Barn at Cedar Ridge, LLC",17005030,Domestic Limited Liability Company,"720 3rd street, Folkston, GA, 31537, USA",Armando Adriano Hernandez,Active/Compliance
"Daughter's Brand, LLC.",19029779,Domestic Limited Liability Company,"581 SHADOW VALLEY CT, LITHONIA, GA, 30058, USA",Nitasha Moses,Active/Compliance
"DAUGHTER'S COBBLER SHOPPE, INC.",346165,Domestic Profit Corporation,"327 PITTMAN ST, MACON, GA, 31206","Presley, Gwendolyn Burnell",Admin. Dissolved
Daughter's of a Diamond's Destiny,,Name Reservation,NONE,NONE,Expired
Daughters & Sons LLC,19065799,Domestic Limited Liability Company,"2572 Hosea L Williams Dr., NE, Atlanta, GA, 30317, USA","United States Corporation Agents, Inc.",Active/Compliance
"DAUGHTERS AGAINST ALZHEIMER'S, INC.",18092413,Domestic Nonprofit Corporation,"3215 WOOD VALLEY ROAD, NW, ATLANTA, GA, 30327, USA",SUSAN A. WATSON,Active/Compliance
"Daughters Against Alzheimer's, LLC",17099563,Domestic Limited Liability Company,"3215 Wood Valley Road, NW, Atlanta, GA, 30327, USA",Susan Ayres Watson,Terminated
"Daughters and Women of Naomi, Inc.",13419057,Name Reservation,NONE,NONE,Redeemed
"Daughters and Women of Naomi, Inc.",13426433,Domestic Nonprofit Corporation,"P.O. Box 201, Lovejoy, GA, 30250","InCorp Services, Inc.",Admin. Dissolved
"DAUGHTERS ARISE, LLC",222339,Domestic Limited Liability Company,"4353 HORSESHOE COURT, DECATUR, GA, 30034, USA","FREDRICK HENLEY, JR",Admin. Dissolved
DAUGHTERS BY DESIGN MINISTRIES LLC,8020250,Domestic Limited Liability Company,"3305 Hutchinson Road Apt 19203, Cumming, GA, 30040","Jeter, Constance Sellers",Admin. Dissolved
"DAUGHTERS FIVE, LLC",521888,Domestic Limited Liability Company,"1109 IVEYDALE LANE, PEACHTREE CITY, GA, 30269",RAYMOND M. SLUK,Dissolved
Daughters I Believe in You Mentoring Minisrty Inc.,13393778,Domestic Nonprofit Corporation,"402 Alachua St, Byron, GA, 31008, USA",Daughters I Believe In You Mentoring Ministry,Active/Compliance
"DAUGHTERS IN ZION, LLC",415264,Domestic Limited Liability Company,"210 SUNSEET DR., STE. 225, SALSBURY, NC, 28147, USA",DEREK W. MOSES,Admin. Dissolved
DAUGHTERS LEAD INC,15074232,Domestic Nonprofit Corporation,"211WINDCROFT LANE NW, ACWORTH, GA, 30101, USA",Jameela Pruitt,Active/Compliance
DAUGHTERS NEED A FATHER (DNAF) INCORPORATED,11000233,Domestic Nonprofit Corporation,"2027 Turtlebrook way, Lawrenceville, GA, 30043, USA","Huff, Lauren",Active/Compliance
DAUGHTERS NEED LOVE INC.,14046212,Domestic Nonprofit Corporation,"1051 MORELAND DR., UNIT 10, ATLANTA, GA, 30315",JASMINE MARTIN,Admin. Dissolved
DAUGHTERS OF 2MORROW FOUNDATION INC.,10022179,Domestic Nonprofit Corporation,"200 C Memorial Terrance, Warner Robins, GA, 31093, USA","Turner, Shannon F",Admin. Dissolved
"DAUGHTERS OF ABRAHAM TRANSPORTATION SERVICES, INC.",K512430,Domestic Profit Corporation,"8755 ANSLEY WAY, JONESBORO, GA, 30238-4541, USA","RONALD WALTON, SR.",Admin. Dissolved
"DAUGHTERS OF AFRICA, INC.",K522053,Domestic Nonprofit Corporation,"#8 LONG BOW COURT, SAVANNAH, GA, 31406, USA",BERNETTA B. ANDERSON,Admin. Dissolved
"DAUGHTERS OF BERRY, INC.",509348,Domestic Nonprofit Corporation,"P. O. Box 144, Mount Berry, GA, 30149, USA","Katherine Williams, Campbell",Active/Compliance
"DAUGHTERS OF CHRIST, INC.",K914076,Domestic Profit Corporation,"3354 TIA TRCE NW, KENNESAW, GA, 30152-2587, USA",DONNA J ANDERSON,Admin. Dissolved
DAUGHTERS OF DEBORAH INCORPORATED,8064680,Domestic Nonprofit Corporation,"P.O box 2341, Lilburn, GA, 30048","Jean-Gilles, Keren",Admin. Dissolved
Daughters of Deliverance&Hope Ministries corp,15005794,Domestic Nonprofit Corporation,"3720 Legacy Walk Dr, Flowery Branch, GA, 30542, USA",Alicia Destiny Yarbrough,Active/Compliance
Daughters of Destiny Inc.,18041745,Domestic Nonprofit Corporation,"42 Forest St, Ludowici, GA, 31316, USA","UNITED STATES CORPORATION AGENTS, INC.",Admin. Dissolved
Daughters of Destiny Worldwide Incorporated,16021685,Domestic Nonprofit Corporation,"46 Aberdeen Court, Newnan, GA, 30263, USA",Tanesha McClelland,Active/Compliance
"DAUGHTERS OF DESTINY, INC.",428984,Domestic Nonprofit Corporation,"8536 Pineland Dr , Suite C, Jonesboro, GA, 30238",STACY TOLBERT,Admin. Dissolved
"DAUGHTERS OF DIVINE DESTINY, LLC",578901,Domestic Limited Liability Company,"P.O. BOX 1861, NORCROSS, GA, 30091-1861",TATANYA AKER,Dissolved
"Daughters of Divinity, LLC.",19150381,Domestic Limited Liability Company,"6965 Vesta Brook Dr., Morrow, GA, 30260, USA",Kahlila Carroll,Active/Compliance
Daughters of Dorcas,,Name Reservation,NONE,NONE,Expired
DAUGHTERS OF ESTHER INCORPORATED,11010927,Domestic Nonprofit Corporation,"645 Waterview Dr, Riverdale, GA, 30274, USA","Saunders, Melody Renee",Admin. Dissolved
Daughters of Hope,,Name Reservation,NONE,NONE,Expired
"DAUGHTERS OF IRELAND, INC.",J611471,Domestic Nonprofit Corporation,"PO BOX 30401, SAVANNAH, GA, 31410, USA","Mary Ellis, P",Active/Compliance
DAUGHTERS OF ISSACHAR INTERNATIONAL LLC,11003682,Domestic Limited Liability Company,"303 Tara Beach Lane, Jonesboro, GA, 30238, USA","Moulate, Somanetha",Admin. Dissolved
Daughters of Jerusalem #1099 Inc.,17134168,Domestic Nonprofit Corporation,"6736 Bill Carruth, #502, Hiram, GA, 30141, USA",Tennesha Frierson,Active/Compliance
DAUGHTERS OF JETHRO INC.,14120663,Domestic Nonprofit Corporation,"3304 Tree Summit Parkway, DULUTH, GA, 30096",ADERINSOLA LADIPO,Admin. Dissolved
"DAUGHTERS OF JOB, INC.",9057399,Domestic Nonprofit Corporation,"P.O. BOX 448, Marietta, GA, 30061, USA","LINDLEY, INETT P.",Admin. Dissolved
"DAUGHTERS OF JUDAH EVANGELISTIC MINISTRIES, INC.",43163,Domestic Nonprofit Corporation,"8263 Pembrook Terr, JONESBORO, GA, 30236-6170","Hastings, Elliott",Admin. Dissolved
"DAUGHTERS OF JUDAH REJOICE, INC.",,Domestic Nonprofit Corporation,"1093 PANOLA RD., Stone Mountain, GA, 30088, USA",NONE,Abandoned
Daughters of King Solomon Soverign Chapter of America #5 incorporated,19045730,Domestic Nonprofit Corporation,"2702 whitecrest circle se, conyers, GA, 30013, USA",VeNiece Awylda Scorza,Active/Compliance
DAUGHTERS OF LEGACY INC.,15065308,Domestic Nonprofit Corporation,"7185 LADY HEIDI COURT, JONESBORO, GA, 30236, USA",LADORIEN GAINES,Admin. Dissolved
"Daughters Of Manifestation,LLC",14062314,Name Reservation,NONE,NONE,Expired
