Name,ID Number,Status
THE SONS OF BETHEL NUMBER 2 OF ATCHISON,1490846,FORFEITED - FAILED TO TIMELY FILE A/R
THE SONS OF BETHEL NUMBER 2 OF ATCHISON,1490853,EXPIRED
"BREAKER OF HOT SPRINGS, INC.",234401,FORFEITED - FAILED TO TIMELY FILE A/R
"BREAKER OF NEWTON, INC.",167676,FORFEITED - FAILED TO TIMELY FILE A/R
"BREAKER OF PINE BLUFF, INC.",307702,FORFEITED - FAILED TO TIMELY FILE A/R
"BREAKER OF SPRINGFIELD, INC.",357038,FORFEITED - FAILED TO TIMELY FILE A/R
BROTHERS ONE LLC,7900293,FORFEITED - FAILED TO TIMELY FILE A/R
"CLEAR BOX INSIGHTS, LLC",6868244,ACTIVE AND IN GOOD STANDING
"CRYSTAL MOUNTAIN PRODUCTIONS,LLC",8767964,FORFEITED - FAILED TO TIMELY FILE A/R
EL PASO PRODUCTION COMPANY,7125792,WITHDRAWN
"EMPORIA KS DRIVE-IN RESTAURANT #1, L.L.C.",2309482,ACTIVE AND IN GOOD STANDING
"FIGEAC AERO NORTH AMERICA, INC.",2765584,ACTIVE AND IN GOOD STANDING
"INSTRUMENTAL ADVISORS, INC.",6962583,ACTIVE AND IN GOOD STANDING
"INSURANCE ALTERNATIVES, INC.",7058910,FORFEITED - FAILED TO CORRECT AND RETURN A/R
"LEASEHOLD INVESTMENTS OF BONNER SPRINGS, L.P.",2097012,FORFEITED - FAILED TO TIMELY FILE A/R
"S-G METALS INDUSTRIES, INC.",7017064,FORFEITED - FAILED TO TIMELY FILE A/R
SAFE SCENTS BY SONYA INC,6478978,ACTIVE AND IN GOOD STANDING
"SDI OF DERBY #2, L.L.C.",2520716,ACTIVE AND IN GOOD STANDING
"SDI OF KEARNEY, INC.",2661320,ACTIVE AND IN GOOD STANDING
"SDI OF OVERLAND PARK #5, LLC",4262036,ACTIVE AND IN GOOD STANDING
"SDI OF OVERLAND PARK #6, LLC",4360475,ACTIVE AND IN GOOD STANDING
"SDI OF PARSONS, LLC",19877,ACTIVE AND IN GOOD STANDING
SON & SONS LLC,8629941,ACTIVE AND IN GOOD STANDING
SON - RISE LEASING LLC,3927860,FORFEITED - FAILED TO TIMELY FILE A/R
SON BROTHERS LLC,9539347,ACTIVE AND IN GOOD STANDING
SON CORPORATION,318741,FORFEITED - FAILED TO TIMELY FILE A/R
"SON DISASTER STRUCTURES, INC.",2794501,FORFEITED - FAILED TO TIMELY FILE A/R
"SON ENERGY, LLC",4829545,FORFEITED - FAILED TO TIMELY FILE A/R
"SON ENTERPRISES, INC.",718551,FORFEITED - FAILED TO TIMELY FILE A/R
SON FOODS LLC,8888141,ACTIVE AND IN GOOD STANDING
SON HOUSE CONSTRUCTION LLC,6994602,DISSOLVED
"SON INFORMATION SYSTEMS, INC.",5031976,ACTIVE AND IN GOOD STANDING
SON LEASING,9206863,EXPIRED NAME RESERVATION
SON LEASING CORPORATION,2736403,FORFEITED - FAILED TO TIMELY FILE A/R
"SON LIGHT MINISTRIES, INCORPORATED",799411,FORFEITED - FAILED TO TIMELY FILE A/R
"SON LIGHT MINISTRIES, LTD.",3007051,ACTIVE AND IN GOOD STANDING
"SON LIGHT MISSIONARY LETTER SERVICE, INC.",2058634,FORFEITED - FAILED TO TIMELY FILE A/R
SON LLC,8888182,ACTIVE AND IN GOOD STANDING
SON MOBILE BUILDINGS CORPORATION,2339406,MERGED OUT OF EXISTENCE
SON OF A BUCK TRUCKS LLC,8159485,ACTIVE AND IN GOOD STANDING
SON OF A FINK KUSTOMS LLC,9376088,ACTIVE AND IN GOOD STANDING
"SON OF A SID, LLC",8782963,ACTIVE AND IN GOOD STANDING
SON OF ZEN CATERING LLC,8057689,FORFEITED - FAILED TO TIMELY FILE A/R
SON SCAPES LLC,6982300,FORFEITED - FAILED TO TIMELY FILE A/R
"SON SPRINGS CAMP, INC.",551077,FORFEITED - FAILED TO CORRECT AND RETURN A/R
SON TRUCKING INC,7923717,FORFEITED - FAILED TO TIMELY FILE A/R
"SON WRAY RANCH, LLC",4738274,ACTIVE AND IN GOOD STANDING
"SON WRAY RANCHETTES, INC.",959445,FORFEITED - FAILED TO TIMELY FILE A/R
"SON'S SERVICE, INC.",403337,FORFEITED - FAILED TO TIMELY FILE A/R
"SON-FLOWER LAITY RENEWAL, INC.",3509171,FORFEITED - FAILED TO TIMELY FILE A/R
"SON-LIFE MINISTRIES, INC.",548990,ACTIVE AND IN GOOD STANDING
SON-SIDE OIL & GAS COMPANY,236521,FORFEITED - FAILED TO TIMELY FILE A/R
"SONA ENTERPRISES, LLC",3498821,DISSOLVED
SONA HOLDINGS INC.,2630234,FORFEITED - FAILED TO TIMELY FILE A/R
SONA INC.,2211357,ACTIVE AND IN GOOD STANDING
"SONA WINES, INC.",4229134,CONSENT TO JURSDICTION/STATUS NOT REQUIRED
SONACA USA INC.,4953907,WITHDRAWN
SONADOR CORPORATION,6276232,FORFEITED - FAILED TO TIMELY FILE A/R
SONADOR HOMES INC.,9543877,ACTIVE AND IN GOOD STANDING
"SONAL PROPERTIES, INC.",4237806,FORFEITED - FAILED TO TIMELY FILE A/R
"SONAMU, INC.",3905809,FORFEITED - FAILED TO TIMELY FILE A/R
SONAR INC.,1704592,FORFEITED - FAILED TO TIMELY FILE A/R
"SONAR SANGAM, INC.",2830818,ACTIVE AND IN GOOD STANDING
"SONARLUX, INC.",184994,FORFEITED - FAILED TO TIMELY FILE A/R
"SONARSALES, INC.",200634,FORFEITED - FAILED TO DESIGNATE A NEW RESIDENT AGENT
"SONAS FINANCIAL GROUP, INC.",3357266,WITHDRAWN
"SONASIP, INC.",658880,FORFEITED - FAILED TO TIMELY FILE A/R
"SONATA, INC.",3470036,FORFEITED - FAILED TO TIMELY FILE A/R
"SONATYPE, INC.",5083449,ACTIVE AND IN GOOD STANDING
SONBEA MANAGEMENT COMPANY,1836527,ACTIVE AND IN GOOD STANDING
"SONBEAMS TAP & TUMBLING, INC.",2254142,FORFEITED - FAILED TO TIMELY FILE A/R
"SONDANCE REMODEL MANAGEMENT, INC.",1724087,FORFEITED - FAILED TO TIMELY FILE A/R
"SONDAU OIL AND GAS COMPANY, INC.",130013,FORFEITED - FAILED TO TIMELY FILE A/R
SONDER & CO. LLC,9056888,ACTIVE AND IN GOOD STANDING
SONDER COLLABORATIVE LLC,8322927,FORFEITED - FAILED TO TIMELY FILE A/R
SONDERGARD CONSTRUCTION LLC,8427320,ACTIVE AND IN GOOD STANDING
"SONDERLING DISTRIBUTION COMPANY, INC.",7119456,FORFEITED - FAILED TO TIMELY FILE A/R
"SONDRA KRAYCA, A.R.N.P., LLC",3816105,FORFEITED - FAILED TO TIMELY FILE A/R
SONDRA'S ELITE SPA LLC,9535683,ACTIVE AND IN GOOD STANDING
SONEAR ENTERPRISES LLC.,6322168,FORFEITED - FAILED TO TIMELY FILE A/R
"SONENDO, INC.",5320817,ACTIVE AND IN GOOD STANDING
"SONES CONSTRUCTION, INCORPORATED",448571,FORFEITED - FAILED TO TIMELY FILE A/R
SONEX LLC,8574543,FORFEITED - FAILED TO TIMELY FILE A/R
SONFLOWER CHRISTIAN SCHOOL INC.,820035,FORFEITED - FAILED TO TIMELY FILE A/R
"SONFLOWER CORPORATION, INC.",214809,MERGED OUT OF EXISTENCE
"SONFLOWER EMMAUS COMMUNITY OF TOPEKA, INC.",1649045,FORFEITED - FAILED TO TIMELY FILE A/R
"SONFLOWER EMMAUS OF KANSAS, INC.",6050835,DISSOLVED
SONFLOWER MISSIONS LLC,6613046,FORFEITED - FAILED TO TIMELY FILE A/R
"SONFLOWER REGION OF CATECHESIS OF THE GOOD SHEPHERD, INC.",4162186,ACTIVE AND IN GOOD STANDING
SONFLOWERS INC,6330567,FORFEITED - FAILED TO TIMELY FILE A/R
"SONG BROTHERS, INC.",1000322,FORFEITED - FAILED TO TIMELY FILE A/R
"SONG PING LEE, M.D., P.A.",717066,DISSOLVED
"SONG, INC.",947556,FORFEITED - FAILED TO TIMELY FILE A/R
"SONGBIRD AVIATION, INC.",465153,FORFEITED - FAILED TO TIMELY FILE A/R
SONGBIRD CAFE LLC,6186381,FORFEITED - FAILED TO TIMELY FILE A/R
SONGBIRD JUICE CO LLC,7932171,DISSOLVED
"SONGBIRD LANDSCAPE DESIGN, LLC",9331562,ACTIVE AND IN GOOD STANDING
SONGBIRD MUSIC MINISTRY LLC,2677581,FORFEITED - FAILED TO TIMELY FILE A/R
SONGBIRD YOGA LLC,6549919,FORFEITED - FAILED TO TIMELY FILE A/R
SONGER & CO'S ADDITION TO PIEDMONT,1460641,FORFEITED - FAILED TO TIMELY FILE A/R
"SONGER DESIGN ASSOCIATES, INC.",367870,DISSOLVED
"SONGER, LLC",3675774,ACTIVE AND IN GOOD STANDING
"SONGET, INC.",6641617,FORFEITED - FAILED TO TIMELY FILE A/R
"SONGLINES, LLC",3385812,FORFEITED - FAILED TO TIMELY FILE A/R
"SONGS OF A SERVANT, LLC",6396121,FORFEITED - FAILED TO TIMELY FILE A/R
SONIA OIL CORPORATION,7335730,FORFEITED - FAILED TO TIMELY FILE A/R
SONIC BOOM LEADERSHIP SEMINARS LLC,8704660,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC BROADBAND, LLC",4737003,ACTIVE AND IN GOOD STANDING
"SONIC CASH OF KANSAS, LLC",4095998,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC CHOICE, LLC",3833365,DISSOLVED
SONIC CORPORATION,7335748,FORFEITED - FAILED TO TIMELY FILE A/R
SONIC DRIVE IN OF CLAY CENTER L.P.,936203,FORFEITED - FAILED TO TIMELY FILE A/R
SONIC DRIVE IN OF EUREKA L.P.,906453,DISSOLVED
"SONIC DRIVE IN OF FORT SCOTT, L.P.",727560,DISSOLVED
"SONIC DRIVE IN OF FT. SCOTT, KANSAS, INC.",218610,DISSOLVED
"SONIC DRIVE IN OF GARNETT, A LIMITED PARTNERSHIP",554022,DISSOLVED
"SONIC DRIVE IN OF LEXINGTON, NEBRASKA, INC.",479006,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE IN OF NEODESHA, L.P.",554048,DISSOLVED
"SONIC DRIVE IN OF OSAGE CITY, A LIMITED PARTNERSHIP",841650,DISSOLVED
"SONIC DRIVE IN OF OSAWATOMIE, A LIMITED PARTNERSHIP",521443,DISSOLVED
"SONIC DRIVE-IN HUGOTON, L.L.C.",2259869,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN LIBERAL #2, L.L.C.",2248334,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF 31ST STREET, L.P.",3046489,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF 63RD STREET, L.C.",2016541,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF 6TH STREET, LAWRENCE, KANSAS, A LIMITED PARTNERSHIP",1597608,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF ABILENE, KANSAS",411900,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF ABILENE, L.C.",2024479,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF ABILENE, L.P.",1732676,DISSOLVED
"SONIC DRIVE-IN OF ARKANSAS CITY, KANSAS, INC.",1460658,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF ATCHISON, L.P.",2912046,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF AUGUSTA, INC.",183012,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF BELMONT, A LIMITED PARTNERSHIP",820126,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF BONNER SPRINGS, L.C.",2097384,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF BRANSON, INC.",355602,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF BURLINGTON, KANSAS, L.L.C.",2304731,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF CHANUTE, KANS., INC.",72272,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF CIMARRON, KANSAS, INC.",5022603,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF CLAY CENTER, L.C.",2156313,DISSOLVED
"SONIC DRIVE-IN OF COFFEYVILLE, KANSAS, INC.",82891,DISSOLVED
"SONIC DRIVE-IN OF COFFEYVILLE, L.P.",440370,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF COUNCIL GROVE, L.C.",2156263,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF DERBY, L.P.",905661,CONVERTED
"SONIC DRIVE-IN OF DODGE CITY, KANSAS",450833,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF DODGE CITY, KANSAS, INC.",60202,DISSOLVED
"SONIC DRIVE-IN OF DODGE CITY, L.C.",2409480,ACTIVE AND IN GOOD STANDING
SONIC DRIVE-IN OF EAST 21ST STREET L.P.,494864,DISSOLVED
"SONIC DRIVE-IN OF EAST 21ST STREET, L.P.",2062834,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF EAST 21ST, INC.",1622968,DISSOLVED
"SONIC DRIVE-IN OF EUREKA, INC.",212746,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF GALENA, KANSAS, INC.",559401,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF GARDEN CITY, KANSAS, INC.",377713,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF GARDNER, L.C.",2011369,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF GARNETT, L.C.",2162428,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF GIRARD, L.P.",2220317,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF HARRISON, INC.",199414,DISSOLVED
"SONIC DRIVE-IN OF HAYSVILLE, INC.",390740,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF HIAWATHA, KANSAS",644930,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF HIAWATHA, KANSAS, A LIMITED PARTNERSHIP.",1600345,DISSOLVED
"SONIC DRIVE-IN OF HOLTON, INC.",1782143,DISSOLVED
"SONIC DRIVE-IN OF HUTCHINSON, KANS., INC.",330050,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF HUTCHINSON, L.P.",809319,DISSOLVED
"SONIC DRIVE-IN OF INDEPENDENCE, KANS., INC.",184242,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF IOLA, A LIMITED PARTNERSHIP",440479,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF IOLA, KANSAS, INC.",76448,DISSOLVED
"SONIC DRIVE-IN OF IOLA, KANSAS, LLC",8160269,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF LAWRENCE, A LIMITED PARTNERSHIP",497065,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF LEAVENWORTH, KANSAS, LLC",4501722,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF LYONS, KS., INC.",481358,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF MARYSVILLE, L.C.",2068963,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF MCPHERSON, INC.",187203,FORFEITED - FAILED TO CORRECT AND RETURN A/R
"SONIC DRIVE-IN OF MCPHERSON, KANSAS, L.C.",1775055,DISSOLVED
"SONIC DRIVE-IN OF MERRIAM, L.C.",1846625,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF N. 3RD, L.P.",2499069,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF NEODESHA, L.P.",2220309,DISSOLVED
"SONIC DRIVE-IN OF NEVADA, INC.",80085,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF NORTH BROADWAY, INC.",373415,DISSOLVED
"SONIC DRIVE-IN OF OLATHE, KANSAS, A LIMITED PARTNERSHIP",531483,DISSOLVED
"SONIC DRIVE-IN OF OSAGE CITY, L.C.",2174365,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF OSAWATOMIE, L.C.",2011377,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF OSWEGO, KANSAS, L.L.C.",2193985,DISSOLVED
SONIC DRIVE-IN OF OTTAWA,632620,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF OTTAWA, INC.",205476,DISSOLVED
"SONIC DRIVE-IN OF OTTAWA, KANSAS, L.L.C.",2304723,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF OVERLAND PARK, L.C.",2022119,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF PAOLA, A LIMITED PARTNERSHIP",489054,DISSOLVED
"SONIC DRIVE-IN OF PAOLA, L.C.",2280949,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF PITTSBURG, KANS., INC.",238915,DISSOLVED
"SONIC DRIVE-IN OF PITTSBURG, KANSAS, LLC",502799,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF PRATT, KANSAS, INC.",1602,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF SABETHA, INC.",2209104,DISSOLVED
"SONIC DRIVE-IN OF SHAWNEE, L.C.",1827922,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF SOUTH OLIVER, INC.",341701,DISSOLVED
"SONIC DRIVE-IN OF ST. ROBERTS, INC.",430769,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN OF TOPEKA, INC.",228338,DISSOLVED
"SONIC DRIVE-IN OF WAMEGO, L.C.",2153971,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN OF WEST WICHITA, KANS., INC.",315416,DISSOLVED
"SONIC DRIVE-IN OF WICHITA, KANS., INC.",216630,DISSOLVED
"SONIC DRIVE-IN ULYSSES, L.C.",2409365,DISSOLVED
"SONIC DRIVE-IN, ATCHISON, A LIMITED PARTNERSHIP",474023,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN, BAXTER SPRINGS, KANSAS, A LIMITED PARTNERSHIP",472316,MERGED OUT OF EXISTENCE
"SONIC DRIVE-IN, BAXTER SPRINGS, KS, LLC",3312642,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN, COWLEY COUNTY, INC.",380196,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN, DERBY, INC.",351429,DISSOLVED
"SONIC DRIVE-IN, EL DORADO, KANSAS, INC.",156182,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN, EMPORIA, A LIMITED PARTNERSHIP",457051,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN, EMPORIA, INC.",271395,DISSOLVED
"SONIC DRIVE-IN, GALENA, L.L.C.",4066908,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN, GREAT BEND, INC.",319848,ACTIVE AND IN GOOD STANDING
"SONIC DRIVE-IN, HAYS, INC.",351833,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN, INC.,ENID, OKLAHOMA",7335755,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN, JUNCTION CITY, INC.",417394,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN, KINGMAN, A LIMITED PARTNERSHIP",462150,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN, LARNED, A LIMITED PARTNERSHIP",462143,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN, LEAVENWORTH",376426,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN, LIBERAL, INC.",407064,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN, MANHATTAN, KANSAS, INC.",720102,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN, MCPHERSON COUNTY",461434,FORFEITED - FAILED TO TIMELY FILE A/R
"SONIC DRIVE-IN, RUSSELL, INC.",433755,FORFEITED - FAILED TO CORRECT AND RETURN A/R
"SONIC DRIVE-IN, SALINA, A LIMITED PARTNERSHIP",450155,DISSOLVED
"SONIC DRIVE-IN, SALINA, INC.",324343,FORFEITED - FAILED TO CORRECT AND RETURN A/R
