CompanyName,OrganizationNumber,Status,Type
"SONIA H. WOODALL & ASSOCIATES, INC.",174849,A-Active - Good,KCO-Kentucky Corporation
SONIA JAMILA UMER Corp,934878,I-Inactive,KCO-Kentucky Corporation
"SONIA LEE'S, INC,",486012,I-Inactive,ASC-Assumed Name Corporation
"SONIA LEE'S, INC.",486012,I-Inactive,KCO-Kentucky Corporation
"SONIAS 24-7 TAXI CAB SERVICE, LLC.",834514,I-Inactive,KLC-Kentucky Limited Liability Company
"SONIAT STREET PRODUCTIONS, INC.",808269,I-Inactive,KCO-Kentucky Corporation
"SONIC, LTD",47181,I-Inactive,KCO-Kentucky Corporation
"SONICAIR, INC.",435626,I-Inactive,FCO-Foreign Corporation
Sonic Broom Cleaning LLC,956761,I-Inactive,KLC-Kentucky Limited Liability Company
SONIC CLEAN,295396,I-Inactive,ASC-Assumed Name Corporation
"SONIC, COLUMBIA, KY, INC.",151276,I-Inactive,KCO-Kentucky Corporation
"SONIC, COLUMBIA, KY. A LIMITED PARTNERSHIP",114151,I-Inactive,LPA-LP From Assumed Name
"SONIC COMMUNICATIONS, INC.",559116,I-Inactive,KCO-Kentucky Corporation
SONIC OF CORBIN,542694,A-Active,ALC-Assumed Name for LLC
"Sonic Development, LLC",746950,I-Inactive,KLC-Kentucky Limited Liability Company
"SONIC DISTRIBUTORS, INC.",188065,I-Inactive,KCO-Kentucky Corporation
"SONIC DRIVE-IN OF BEAVER DAM, KENTUCKY LP",712386,I-Inactive,KNP-Kentucky ULPA Limited Partnership
"SONIC DRIVE-IN OF BOWLING GREEN, INC.",330405,I-Inactive,KCO-Kentucky Corporation
"SONIC DRIVE-IN, CAMPBELLSVILLE, INC.",68890,I-Inactive,KCO-Kentucky Corporation
"SONIC DRIVE-IN OF CENTRAL CITY, LLC",527762,I-Inactive,FLC-Foreign Limited Liability Company
"Sonic Drive-In of Central City, LLC",1039435,A-Active - Good,FLC-Foreign Limited Liability Company
"SONIC DRIVE-IN OF CORBIN, LTD.",84523,I-Inactive,GPA-General Partnership Assumed Name
"SONIC DRIVE-IN, ELIZABETHTOWN, A LIMITED PARTNERSHIP",83720,I-Inactive,LPA-LP From Assumed Name
"SONIC DRIVE-IN LONDON, KENTUCKY, A LIMITED PARTNERSHIP",412449,I-Inactive,KLP-Kentucky Limited Partnership
"SONIC DRIVE-IN, LONDON, KY #1, L.L.C.",533985,I-Inactive,FLC-Foreign Limited Liability Company
"SONIC DRIVE-IN, LONDON, KY #2, L.L.C.",532123,I-Inactive,FLC-Foreign Limited Liability Company
"SONIC DRIVE-IN, LONDON, KY #2, L.L.C.",658584,I-Inactive,FLC-Foreign Limited Liability Company
"SONIC DRIVE-IN, LONDON, NORTH MAIN ST., L.L.C.",617583,I-Inactive,FLC-Foreign Limited Liability Company
"SONIC DRIVE-IN, MIDDLESBORO, KENTUCKY",319804,I-Inactive,KLP-Kentucky Limited Partnership
"SONIC DRIVE-IN, MIDDLESBORO, KY, L.L.C.",542065,I-Inactive,FLC-Foreign Limited Liability Company
"SONIC DRIVE-IN, MIDDLESBORO, KY, L.L.C.",658587,I-Inactive,FLC-Foreign Limited Liability Company
"SONIC DRIVE-IN OF MURRAY, KENTUCKY, INC.",47182,I-Inactive,KCO-Kentucky Corporation
"SONIC DRIVE-IN NASHVILLE HIGHWAY, INC.",620120,A-Active - Good,KCO-Kentucky Corporation
"SONIC DRIVE IN OF PADUCAH, KENTUCKY, A LIMITED PARTNERSHIP",82416,I-Inactive,LPA-LP From Assumed Name
"SONIC DRIVE-IN OF SCOTTSVILLE, INC.",317336,A-Active - Good,KCO-Kentucky Corporation
"SONIC DRIVE-IN, SOMERSET, KENTUCKY, L.L.C.",482665,I-Inactive,FLC-Foreign Limited Liability Company
"SONIC DRIVE-IN, SOMERSET, KENTUCKY, L.L.C.",658589,I-Inactive,FLC-Foreign Limited Liability Company
"SONIC DRIVE-IN, SOMERSET, KENTUCKY, A LIMITED PARTNERSHIP",457641,I-Inactive,KLP-Kentucky Limited Partnership
"SONIC DRIVE-IN, SOMERSET, KY, INC.",161667,I-Inactive,KCO-Kentucky Corporation
"SONIC DRIVE-IN OF TOMPKINSVILLE, INC.",330406,A-Active - Good,KCO-Kentucky Corporation
"SONIC DRIVE-IN, WEST MEMPHIS, INC.",286403,I-Inactive,FCO-Foreign Corporation
"SONIC DRIVE-IN, WEST MEMPHIS, INC.",329428,I-Inactive,FCO-Foreign Corporation
"SONIC DRIVE-IN, WILLIAMSBURG, KENTUCKY, LIMITED PARTNERSHIP",430572,I-Inactive,KLP-Kentucky Limited Partnership
"SONIC DRIVE-IN, WILLIAMSBURG, KENTUCKY, L.L.C.",515382,I-Inactive,FLC-Foreign Limited Liability Company
"SONIC DRIVE-IN, WILLIAMSBURG, KENTUCKY, L.L.C.",658590,I-Inactive,FLC-Foreign Limited Liability Company
"SONIC EAST, LIMITED PARTNERSHIP",469576,I-Inactive,FLP-Foreign Limited Partnership
"SONIC EAST, L.P.",469576,F-Real Name of foreign org. which filed under a fictitious name,NCR-Name Cross Reference
"SONIC EAST, L.P.",469576,I-Inactive,FNP-Foreign ULPA Limited Partnership
Sonic Electronic,1006913,I-Inactive,ALC-Assumed Name for LLC
"Sonic Entertainment, LLC",810139,I-Inactive,KLC-Kentucky Limited Liability Company
SONIC EQUIPMENT COMPANY,944824,A-Active - Good,FCO-Foreign Corporation
SONIC FRANCHISING LLC,789594,A-Active - Good,FLC-Foreign Limited Liability Company
SONIC GRAFIX LLC,627287,I-Inactive,KLC-Kentucky Limited Liability Company
"SONIC, HENDERSON, KY. INC.",88628,I-Inactive,KCO-Kentucky Corporation
"SONIC, HENDERSON, KY. #2, A LIMITED PARTNERSHIP",119997,I-Inactive,LPA-LP From Assumed Name
SONIC IMMERSION TECHNOLOGIES LLC,607125,A-Active - Good,KLC-Kentucky Limited Liability Company
SONIC INDUSTRIES INC.,66727,I-Inactive,FCO-Foreign Corporation
SONIC INDUSTRIES LLC,665001,A-Active - Good,FLC-Foreign Limited Liability Company
SONIC INDUSTRIES FRANCHISING LLC,664403,I-Inactive,FLC-Foreign Limited Liability Company
SONIC INDUSTRIES SERVICES INC.,66727,A-Active - Good,FCO-Foreign Corporation
SONI CLEAN,254675,I-Inactive,GPA-General Partnership Assumed Name
"SONICLINK, LLC",547190,I-Inactive,KLC-Kentucky Limited Liability Company
"SONIC MINE SUPPLY, INC.",233831,I-Inactive,KCO-Kentucky Corporation
"SONIC OF MONTICELLO, KY",516304,I-Inactive,ALC-Assumed Name for LLC
"SONIC MT. WASHINGTON, KY NO. 1, LLC",588561,I-Inactive,FLC-Foreign Limited Liability Company
"Sonic Mt. Washington, KY No. 1, LLC",808109,I-Inactive,FLC-Foreign Limited Liability Company
"SONIC MUSE ARTIST MANAGEMENT, LLC",749222,I-Inactive,KLC-Kentucky Limited Liability Company
"SONIC NORTH, INC.",148446,I-Inactive,KCO-Kentucky Corporation
"SONIC, PROVIDENCE, KY, INC.",84070,I-Inactive,KCO-Kentucky Corporation
"SONIC RESTAURANTS, INC.",111637,I-Inactive,FCO-Foreign Corporation
"SONIC RESTAURANTS, INC.",346999,I-Inactive,FCO-Foreign Corporation
"SONIC RESTAURANTS, LLC",346999,I-Inactive,FLC-Foreign Limited Liability Company
"SONIC RESTAURANTS, LLC",346999,A-Active - Good,FLC-Foreign Limited Liability Company
"SONIC OF RUSSELL SPRINGS, KY",505937,I-Inactive,ALC-Assumed Name for LLC
SONIC SERVICE CORP.,251792,I-Inactive,FCO-Foreign Corporation
"SONIC SERVICES, INC.",47184,I-Inactive,KCO-Kentucky Corporation
"SONIC SIGNS, INC.",201992,I-Inactive,KCO-Kentucky Corporation
"Sonic Solutions, LLC",986798,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONIC, SOMERSET, KY, A LIMITED PARTNERSHIP",89297,I-Inactive,LPA-LP From Assumed Name
SONIC SOUNDS LABS LLC,706228,I-Inactive,KLC-Kentucky Limited Liability Company
"SONIC SOUTH, INC.",148444,I-Inactive,KCO-Kentucky Corporation
SONIC SPECTRUM,48729,I-Inactive,ASC-Assumed Name Corporation
"Sonic Springs Development, LLC",746430,I-Inactive,KLC-Kentucky Limited Liability Company
"SONIC OF STANFORD, KENTUCKY",571704,A-Active,ALC-Assumed Name for LLC
Sonic Systems Inc,943603,I-Inactive,FCO-Foreign Corporation
Sonic Systems Inc,943603,A-Active,NCR-Name Cross Reference
"SONIC OF TOWNCENTER, LLC",503296,I-Inactive,FLC-Foreign Limited Liability Company
"SONIC OF TOWNCENTER, LLC",666712,I-Inactive,FLC-Foreign Limited Liability Company
"SONIC TRANSITIONS INTERNATIONAL, L.L.C.",584991,I-Inactive,KLC-Kentucky Limited Liability Company
"SONIC VILLA, INC.",733638,I-Inactive,KCO-Kentucky Corporation
SONICWALL INC.,982856,A-Active - Good,FCO-Foreign Corporation
"SONIC WAVE SYSTEMS, INC.",237805,I-Inactive,KCO-Kentucky Corporation
"SONIC OF WHITLEY CITY, KY",564952,I-Inactive,ALC-Assumed Name for LLC
"SONIFI SOLUTIONS, INC.",321529,A-Active - Good,FCO-Foreign Corporation
SONI JEWELRY Inc.,761680,I-Inactive,KCO-Kentucky Corporation
THE SONIM CORPORATION,167632,I-Inactive,FCO-Foreign Corporation
"SON INVESTMENTS, LLC",608259,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONIRAM, LLC",896327,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONITA'S LOCK, LLC.",540354,I-Inactive,KLC-Kentucky Limited Liability Company
"SONITROL OF CINCINNATI, INC.",188055,I-Inactive,ASC-Assumed Name Corporation
"SONITROL OF CINCINNATI, INC.",178976,I-Inactive,FCO-Foreign Corporation
"SONITROL OF EVANSVILLE, INC.",291252,A-Active - Good,FCO-Foreign Corporation
"SONITROL FRANCHISE COMPANY, L.L.C.",719260,I-Inactive,FLC-Foreign Limited Liability Company
"SONITROL OF LEXINGTON, INC.",194394,A-Active - Good,KCO-Kentucky Corporation
"SONITROL OF LEXINGTON SECURITY SYSTEMS, INC.",47185,I-Inactive,KCO-Kentucky Corporation
"SONITROL OF LOUISVILLE, KENTUCKY, INC.",287030,I-Inactive,ASC-Assumed Name Corporation
SONITROL SECURITY SYSTEMS OF NORTHERN KENTUCKY,178976,I-Inactive,ASC-Assumed Name Corporation
"SONITROL SECURITY SYSTEMS OF NORTHERN KENTUCKY, INC.",155644,I-Inactive,KCO-Kentucky Corporation
SONITROL SECURITY SYSTEMS OF OWENSBORO,291252,I-Inactive,ASC-Assumed Name Corporation
"SONITROL OF SOUTHERN INDIANA, INC.",147122,I-Inactive,FCO-Foreign Corporation
"SONITROL OF WESTERN KENTUCKY, L.L.C.",407502,I-Inactive,KLC-Kentucky Limited Liability Company
SONITROL OF WESTERN KENTUCKY LLC,407502,I-Inactive,ALC-Assumed Name for LLC
"SONIX4U, INC.",517306,I-Inactive,FCO-Foreign Corporation
"SONIX MACHINE COMPANY, INC.",183898,I-Inactive,ASC-Assumed Name Corporation
"SONJA BIRD MUSIC, INC.",164158,I-Inactive,KCO-Kentucky Corporation
"SONJA HENIE (IRE) THOROUGHBRED, LLC",1020307,I-Inactive,FLC-Foreign Limited Liability Company
"SONJA L. BRATCHER, LLC",556822,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONJA L. MAGGARD, D.M.D., P.S.C.",484752,A-Active - Good,KPS-Kentucky Professional Services Corp
"Sonja's Country Primitives, LLC",938501,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONJA'S FOLLIES, INC.",479331,I-Inactive,KCO-Kentucky Corporation
"SONJA'S HAIR DESIGNERS, INC.",264488,I-Inactive,KCO-Kentucky Corporation
"SONJI TRUCKING, INC.",192125,I-Inactive,KCO-Kentucky Corporation
"SON-KISSED MINISTRIES, INC.",430841,I-Inactive,KCO-Kentucky Corporation
THE SON LAW FIRM PSC,632144,I-Inactive,KPS-Kentucky Professional Services Corp
"SON-IN-LAW LANDSCAPING, LLC",573286,I-Inactive,KLC-Kentucky Limited Liability Company
"SONLEA ENTERPRISES, INC.",489660,I-Inactive,KCO-Kentucky Corporation
"SON OF LIFE MINISTRY, LLC",1044387,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONLIGHT, INC.",185681,I-Inactive,KCO-Kentucky Corporation
"SONLIGHT CABINET & MILLWORK, INC.",302096,I-Inactive,KCO-Kentucky Corporation
"SON LIGHT CENTER, INC.",142666,I-Inactive,KCO-Kentucky Corporation
"SONLIGHT COMMUNICATIONS, INC.",489323,I-Inactive,KCO-Kentucky Corporation
"SONLIGHT COMPUTER SOLUTIONS, INC.",470163,I-Inactive,KCO-Kentucky Corporation
SONLIGHT ENVIRONMENTAL SYSTEMS LLC,500294,I-Inactive,KLC-Kentucky Limited Liability Company
SONLIGHT EXTERIOR CLEANING,619128,A-Active,ALC-Assumed Name for LLC
"SONLIGHT FELLOWSHIP CHURCH OF GOD, INC.",281804,A-Active - Good,KCO-Kentucky Corporation
"SONLIGHT GROUP, INC.",577963,A-Active - Good,KCO-Kentucky Corporation
"SON LIGHT MINISTRIES, INC.",116688,I-Inactive,KCO-Kentucky Corporation
"SONLIGHT MINISTRIES, INC.",486473,I-Inactive,KCO-Kentucky Corporation
"SONLIGHT MUSIC, INC.",745463,A-Active - Good,KCO-Kentucky Corporation
"SONLIGHT PHOTOGRAPHY, LLC",726516,I-Inactive,KLC-Kentucky Limited Liability Company
"SONLIGHT PRESCHOOL/DAYCARE, INC.",517684,A-Active - Good,KCO-Kentucky Corporation
SONLIGHT WINDOW CLEANING LLC,619128,A-Active - Good,KLC-Kentucky Limited Liability Company
"SON LITE, INC.",323334,I-Inactive,KCO-Kentucky Corporation
"SON LITE INTERNATIONAL, INC.",325545,I-Inactive,KCO-Kentucky Corporation
SONLYNN LLC,1029476,I-Inactive,KLC-Kentucky Limited Liability Company
"SONMARK, INC.",512554,I-Inactive,KCO-Kentucky Corporation
"SON OF MEATBALL, LLC",591439,I-Inactive,KLC-Kentucky Limited Liability Company
"SONNE CONSTRUCTION MANAGEMENT, INC",705303,I-Inactive,KCO-Kentucky Corporation
"SONNE HOLDINGS, INC.",705308,I-Inactive,KCO-Kentucky Corporation
"SONNE INVESTMENTS, INC.",607048,I-Inactive,KCO-Kentucky Corporation
SONNE KITCHEN & BATH DESIGN,789726,I-Inactive,ALC-Assumed Name for LLC
"SONNE & NELL, P.S.C.",172658,I-Inactive,KPS-Kentucky Professional Services Corp
"SONNE PROPERTIES, LLC",556002,I-Inactive,KLC-Kentucky Limited Liability Company
"SONNE STEEL, INC.",616450,A-Active - Good,KCO-Kentucky Corporation
SONNET COVE,783817,I-Inactive,ALC-Assumed Name for LLC
"SONNET COVE GP, LIMITED PARTNERSHIP",489020,I-Inactive,FLP-Foreign Limited Partnership
"SONNET GP, INC.",488271,I-Inactive,FCO-Foreign Corporation
"SONNET GP, L.P.",489020,F-Real Name of foreign org. which filed under a fictitious name,NCR-Name Cross Reference
"SONNE TRIBBLE, LLC",789726,A-Active - Good,KLC-Kentucky Limited Liability Company
"SONNO FELICE, LLC",955849,I-Inactive,FLC-Foreign Limited Liability Company
"SONNY & CO., INC.",200007,I-Inactive,KCO-Kentucky Corporation
SONNY BISHOP CARS,229844,I-Inactive,ASC-Assumed Name Corporation
