Entity Name,ID Number,NAICS,Inactive status
A. A. Mariani and Son Funeral Home,93639,812220,
"A. DUQUETTE & SON, INC.",73286,238220,
"A. SALVADORE & SON, LLC",1337724,238910,
"A. SCIOLTO & SON, INC.",9311,453990,
"A. Walecka & Son, Inc.",122901,484210,
"A-1 Waste Disposal & Son, LLC",1689967,562998,
AA & SON,1667445,811198,Revoked Entity
"ADRIEN & SON, INC.",11721,236115,
"AL SON DE MI BARRIO, LLC",1692391,,
"Alex & Son Construction, LLC",1686355,,
"ALLEN & SON CONSTRUCTION COMPANY, LLC",162509,236118,
Anderson & Son's Lock and Key LLC,849106,812990,
ANGEL- & SON'S AUTO DETAILING LLC,1679344,,Revoked Entity
"Angelo Padula & Son, Inc.",33652,336211,
ANTHONY & SON'S AUTO DETAILING LLC,1667445,811198,Revoked Entity
"BARBOSA & SON AUTO REPAIR, INC.",70774,811111,
Baskervill & Son P.C.,1672427,541310,
Bouchard & Son Excavation L.L.C.,1688687,,
Branca & Son Electric LLC.,1684476,,
"BRUNO & SON ELECTRIC, INC.",160390,238210,
"C. Imondi & Son Florists, Inc.",58699,453110,
"C. PEPIN & SON, INC.",16998,444190,
"C. Sjoberg & Son, Inc.",11880,339999,
"C.L.H. & SON, INC.",504963,237310,
"Cambio & Son Landscaping, Inc.",128743,561730,
"Carl A. Malmborg & Son, Inc.",73386,236118,
"Carter & Son Investments, LLC",1690498,531312,
Casey & Son's Inc.,125786,811121,
"CASTRO AND SON CONSTRUCTION, INC.",96336,238990,
"CHARLES FALCONE & SON, INC.",5398,238320,
COPPA and SON Landscape Construction Incorporated,125587,541320,
Cristiano and Son Painting & Construction Inc.,1700955,,
Curley & Son's INC,1680468,238990,
"Cutler H. Besser & Son, Inc.",43048,238210,
"D LEWIS & SON, INC.",553,81,
"D. G. Yuengling and Son, Inc.",941913,312120,
"D. LARSEN & SON, INC.",81532,238220,
"D. W. Bellows & Son, Inc.",2234,812210,
"D.E. Jones & Son Construction, LLC",1677471,236115,
"Dan Sleboda + Son Excavating, Inc.",43670,237110,
D'ANDREA & SON ENTERPRISE INC.,1662816,484110,
Daniel Marr and Son Company,738782,238120,
DAVID PARRILLO PLUMBING/HEATING & SON LLC,770368,238220,
Dionne & Son's Fuel Oil,83677,238220,
Dionne & Son's Piping Dynamics LTD.,83677,238220,
E. K. D'Allesandro & Son,9326,221320,
E.A. Marcoux & Son Inc.,36765,238900,
"ED FRENCH & SON, INC.",83400,238190,
Efrain & Son's Landscaping LLC,1673502,561730,Revoked Entity
"Egan and Son General Contracting, Inc.",37019,236115,
EX & SON INC.,62527,441120,
"F. G. Lees & Son, Inc.",18963,238220,
"FARIA & SON LANDSCAPING, INC.",161429,561730,
"FERRANDINO & SON, INC.",536319,561790,
"FMG Costantini & Son, Inc.",92968,484110,
"Francis L. Cassani & Son, Inc.",3769,238990,
FRANCISCO & SON'S CONSTRUCTION LLC,1682754,238320,
"FRANCO FRESILLI & SON MASONRY, INC.",108363,238140,
"Frank J. Newman & Son, Inc.",15891,332322,
"Frank Lill and Son, Inc.",561723,238990,
"FRANK R. HOLTAWAY & SON, INC",151957,541330,
G. Edward Silva and Son,13952,524210,
"G. MENNUCCI & SON, INC.",69220,236990,
"G. Plante & Son Builders, Inc.",19823,531110,
"G.DELSIGNORE & SON CONSTRUCTION, LLC",755091,237990,
"G.M. Perron & Son, Inc.",136810,238220,
G.W. PREISS AND SON LLC,164239,541330,
GARCIA SON TRANSPORTATION LLC,1694584,,
"GARY F. BURDICK & SON, INC.",160725,713930,
Geo. H. Fuller and Son Company,34612,339999,
"George W. Smith & Son, Inc.",12131,236118,
"GETCHELL & SON, INC.",10661,332312,
"GIOVANNI VELTRI & SON, INC.",14351,238990,
GRENIER CONSTRUCTION AND SON LLC,1695611,,
H.C. Duke & Son Inc.,153365,333415,
"H.J. Martin & Son, Inc.",790884,236220,
Harrop and Son Remodeling LLC,1675688,236118,
"Harry R. Lewis & Son, Inc.",33880,531190,
"HERNANDEZ & SON, LLC",1682185,,
"Hyman Brickle & Son, Inc.",2826,313210,
"I. BROOMFIELD & SON, INC.",2953,423930,
"IZZO ELECTRIC & SON, INC.",70864,238210,
"J Morin and Son, Inc.",1679495,238990,
"J. ARGENTI & SON ELECTRIC, LLC",147455,238210,
"J. Delisle & Son, LLC",160525,238990,
"J. FLETCHER CREAMER & SON, INC.",58466,517919,
"J. Gorrie and Son Property Management, Inc.",736047,531110,
"J. J. McNamara & Son Inc., Electrical Contractors",9064,238210,
J. TURCOTTE & SON JANITORIAL. INC.,53525,561720,
"J.J. Gilmartin & Son Agency, Inc.",36599,524210,
"J.P. Smith & Son, Inc.",12179,238210,
"Jack & Son Auto Sales & Service, Inc.",85361,441120,
"JFN & Son, LLC",1698834,,
"JFR & SON, LLC",1685505,722511,
JJ & Son Flooring and Construction LLC,1681337,,
JK AND SON LLC,1076262,722410,
"JOE MORTEN & SON, INC.",131954,524210,
"John F. Allen & Son, Incorporated",680,423990,
JOHN H. COLLINS & SON CO.,4450,812990,
"John Koszela & Son, Incorporated",16357,444190,
"John Veltri & Son, Inc.",14351,238990,
JOSEPH COHN & SON TILE & TERRAZZO LLC,911801,238340,
"Joseph D. Lacourse & Son, Inc.",17024,444130,
"KAROL A. ROMENSKI & SON, INC.",21869,812210,
"L. C. & Son Landscaping & Sprinklers, LLC",1683321,,
"L. Heroux & Son, Inc.",16637,812210,
"Laires and Son Auto Repair, Inc.",39727,811111,
"Lavoie & Son Industrial Waste Removal, Inc.",9566,236210,
LJ & SON ASPHALT PAVING LLC,797992,236118,
"LORING AND SON MASONRY RESTORATION, INC.",1681804,236118,
"LOU POLSENO & SON, LLC",129637,238910,
"LOUIE ELECTRIC & SON, LLC",798930,335122,
"LP AND SON ELECTRIC COMPANY, LLC",836963,238210,
"LT & SON'S TRANSPORT, LLC",1681194,,
Luis & Son Construction LLC,1022119,236115,
"M. BARBOZA & SON'S ROOFING & SHEET METAL CO., INC.",86723,238160,
"Marcel Gladu & Son, Inc.",113313,562000,
"Marini & Son, Inc.",958384,238140,
"MARTIN & SON AUTO SALVAGE, INC.",7950,441310,
MARTINELLI S AND SON INC,1658176,999999,
"MELANIE ALDRICH AND SON, INC.",1666958,238220,
MELUCCI & SON LANDSCAPING INC,1666581,812990,
Ministerio Las Almas Son De Cristo,1685197,813110,
MJ Silva & Son Trucking LLC,505697,484110,
"Mota & Son's Landscaping, LLC",1695151,,
"My Son's Inflatables, LLC",1663659,713900,
Older Son Properties LLC,1676665,531311,
ORELLANA AND SON CONSTRUCTION INC,1693880,,
ORELLANA AND SON CONTRUCTION INC,1693880,,
ORTEGA & SON FLOORING LLC,1698180,,
"P.D. CARR & SON, INC.",55916,238110,
PASCUZZI & SON BUILDERS LLC.,711610,711610,
"PAUL R. MUMFORD & SON CESSPOOL SERVICE, INC.",116425,562991,
"Payne & Son Electrical Services, LLC",1671448,238210,
"PELLETIER & SON PLUMBING AND HEATING, INC.",70973,238226,
Pena & Son Rolling Gates LLC,1672749,999999,
"PETER KUBASKA & SON, INC.",16541,812210,
PIRES AND SON INC.,136401,236115,
PITOCCO & SON'S LANDSCAPING INC.,19543,561730,
"R. BAFFONI & SON LANDSCAPING, INC.",95560,561730,
"R. LISI & SON BUILDING CO., INC.",129477,236118,
R. Vento & Son Electric LLC,1068235,238210,
"R.A. DEFUSCO & SON, LLC",130740,238990,
"R.E. AUDETTE & SON GENERAL CONTRACTOR, LLC",109651,238990,
R.P. Smith and Son,12226,524210,
"Raoul G. Henault & Son Funeral Home, Inc.",8996,812210,Revoked Entity
"REICHERT & SON FUEL OIL, INC.",60995,454310,
"Reichert & Son Trucking, Inc.",144620,532412,
"RENE AND SON CARPET CENTER, INC.",57280,444190,
RK PLOURD & SON CONSTRUCTION LLC,1033206,238220,
RM & SON COMPANY INC,967710,238390,Revoked Entity
"ROWLETT & SON HVAC, INC",793413,238220,Revoked Entity
"RUSSELL J. BOYLE & SON FUNERAL HOME, INC.",2724,812210,
"Sal Manzi & Son Plumbing & Heating, Inc.",756137,238220,
"SANFORD AND SON, LTD.",8540,811121,
SENRA & SON TILE INSTALATION LLC,542853,542853,
"SENRA & SON TILE INSTALLATION, LLC",542853,542853,
"SIMON AND SON, LLC",1668580,236116,
"SIMON'S SON, LLC",1668580,236116,
SJ Beauregard & Son LLC,1337886,237110,Revoked Entity
Son & Mother Salon,875218,812112,
Son & Mother Salon,875218,812112,
Son De Plena Baruch LLC,548347,,Revoked Entity
"SON HOUSES, INC.",12619,,Revoked Entity
Son Kims KBBQ LLC,898587,,Revoked Entity
"Son of a Stitch Designs, Inc.",120054,,Revoked Entity
"SON REI MANUFACTURING, INC.",69666,,Revoked Entity
SONA LLC,153957,,Revoked Entity
"Sonador Holdings, LLC",242324,,Revoked Entity
"SONALYSTS, INC.",134320,541330,
"SONAM, LLC",685945,448120,
Sonara la trompeta (the trumpet will sound),325258,,Revoked Entity
SONAT MARKETING COMPANY L.P.,97023,,Cancelled
SONAX INTERNATIONAL LLC,143885,,Revoked Entity
SONBRA MARKETING LLC,157534,,Revoked Entity
"SONCENTERED CONSULTING, LLC",553322,541512,Dissolved
SonCentered LLC,553321,,Name Reservation
SONCENTERED LLC,553322,541512,Dissolved
SonCentered Property Investments,1684313,,Name Reservation
SonCentered Property Investments LLC,1685985,531110,
"SonCentered RealEstate, LLC",1685985,531110,
SONCO WORLDWIDE INC,1661219,532299,Revoked Entity
"Sondaw Properties, Inc.",115402,531120,
"SON-DEE, INC.",12625,,Revoked Entity
"Sonder Designs, LLC",1693159,,
Sondler Salvadore & Associates,99080,541110,
"SONDLER SALVADORE & DICRISTOFARO, LLP",99154,,Expired
"Sondra Jewelry Co., Inc.",12630,,Revoked Entity
"Sondra's Beauty Supply, Inc.",81082,,Revoked Entity
SONDRA'S LLC,503846,812112,Dissolved
"SONDRA'S TOTAL CONCEPT SALON, INC.",12641,,Revoked Entity
"S-One, LLC",788733,,Revoked Entity
"Soneath L. Pond MD, Inc.",145401,,Revoked Entity
"Sonepar Distribution New England, Inc.",102658,423610,
"Sonepar Distribution US, Inc.",102658,423610,
Sonesta International Hotels Corporation,1676466,721110,
"Song International, Inc.",12661,,Revoked Entity
"SONG JEWELRY, INC.",97066,,Revoked Entity
"Song of Songs Entertainment, Inc.",118195,,Revoked Entity
"Song Realty, LLC",504784,,Revoked Entity
Songo LLC,148072,,Revoked Entity
"SONG'S HAPKIDO, INC.",130962,,Revoked Entity
Sonia,271884,,Revoked Entity
Sonia Martinez,1658428,,
Sonia Mesika,1683663,,
SONIA OBJIO,503382,,
SONIA'S CLEANING SERVICE LLC,734702,812990,
SONIA'S NEAR EAST MARKET & DELI,650860,54999904,
SONIC,998192,722513,
"Sonic Cash of Rhode Island, LLC",165261,,Revoked Entity
Sonic Franchising LLC,650889,722511,
Sonic Industries LLC,305289,722511,
Sonic Industries Services Inc.,259679,722511,
"Sonic Industries, Inc.",6062,,Revoked Entity
Sonic PE Inc,142904,,Revoked Entity
SONIC SANCTUARY LLC,506285,61,Revoked Entity
"SONIC TRANSPORT, INC.",137234,117700,
"SonicWorks, Inc.",132969,,Revoked Entity
Sonid LLC,582008,,Conversion
SONIDO LLC,1680784,,
"Sonifi Solutions, Inc.",76318,713120,
"SONISIS, INC.",63206,,Revoked Entity
"Sonitrol Franchise Company, L.L.C.",487874,,Revoked Entity
SONITROL SECURITY SYSTEMS,2033,,Revoked Entity
Sonitrol Security Systems,133201,,Revoked Entity
"SONITROL SECURITY SYSTEMS OF HARTFORD, INC.",796112,561621,
SONITUS MEDICAL INC.,950768,,Revoked Entity
"SONIX4U, INC.",120718,,Revoked Entity
"Sonja L. Deyoe, Inc.,",794258,,Revoked Entity
"SonJon Realty, Inc.FC: 12/31/88",12673,,Revoked Entity
Sonmar Corp.,41474,,Revoked Entity
Sonn Sam,1672186,,
"Sonner Plumbing & Heating, Inc.",771676,81,Revoked Entity
Sonner Plumbing inc,771676,81,Revoked Entity
Sonnet 27 Corporation,1669658,453991,
Sonnet 27 LLC,792700,,Revoked Entity
Sonnet Financial,115949,522390,
Sonnia's Jewelry,120048,498150,
SONNY BOY DEVELOPMENT L.L.C.,1335241,531390,
Sonny Dog LLC,1701374,,
"Sonny Jackson, LLC",966084,,Revoked Entity
"Sonny Kern's Repair Service, Inc.",128001,,Dissolved
"SONNY K'S QUALITY HOMES, INC.",120785,238115,Dissolved
"SONNY REALTY, LLC",540689,531120,
"Sonny Walker, Inc",1689817,,Revoked Entity
"Sonny, LLC",1674425,812990,
Sonny's Italian Restaurant,563904,,Revoked Entity
Sonny's Italian Specialties,563904,,Revoked Entity
SONO & MANO LLC,136846,,Revoked Entity
"SONO RETAILERS, INC.",1673487,445120,Revoked Entity
Sonoco Products Company,158801,322211,
Sonoma Bistro & Wine Bar,792849,722511,
Sonoma Gourmet LLC,1677184,,Cancelled
"SONOMA PROPERTIES OF RI, LLC",524240,531390,
SONOMA REALTY DEVELOPMENT CORP.,127447,,Revoked Entity
"Sonoma, LLC",164549,,Dissolved
"Sonoma, LLC",165528,,Expired
"SONORA COMPANY, LLC",1338667,,Revoked Entity
Sonoran National Insurance Group,125098,999999,
"Sonoran Title Services, Inc.",691978,,Revoked Entity
"Sonquipaug Association, Inc.",29230,813990,
Sonrisa Communication LLC,790214,,Revoked Entity
"Sonrisa Sol RI, LLC",1679500,531110,
"Sonrisa Sol RI, LLC",1681212,,
"SON-ROCK GLOBAL, LLC",956967,,Revoked Entity
"SONS & DAUGHTERS DAY CARE, INC.",12681,,Revoked Entity
"Sons and Daughters of Erin, Pawtucket RI.",798058,813990,
Sons and daughters of Kalcata USA,1693974,,
Sons and Daughters of the First Americans,29243,,Revoked Entity
Sons Construction Corporation,12677,621340,Revoked Entity
SONS LLC,1670552,531110,
SONS MARINE & INDUSTRIAL INC.,1659611,333992,
"Sons of 54 Everett Avenue, LLC",1669855,531110,
SON'S OF AFRICA,795095,,Revoked Entity
Sons of D&D Home & Industrial Services LLC,1680847,,
SONS OF DAVID CLUB,29239,,Revoked Entity
"Sons of ERAC, LLC",1701761,,
"Sons of Italy, II, Inc.",1689661,722410,
Sons of Liberty Brewing Company,555385,312140,
Sons of Liberty Spirits,554943,,Name Reservation
Sons of Liberty Spirits Company,555385,312140,
Sons of Liberty Whiskey Company,555385,312140,
SONS OF NEPTUNE SERVICES INC.,911778,,Revoked Entity
"Sons of New England Construction, LLC",1669229,,Revoked Entity
Son's Pizza of Rhode Island,75009,,Revoked Entity
SONTERRA INTERNATIONAL LLC,123334,,Revoked Entity
"Sonus Research And Design, Inc.",141225,541690,
Sony Corporate Services Inc.,1700796,,
SONY ELECTRONICS INC.,82168,811219,
Sony Interactive Entertainment LLC,1685988,511210,
"SONYA LYNN TOOTELL SIGNATURE SALON, LLC",1685913,,
Sonya's Cleaning Service LLC,734700,,Name Reservation
"SONYA'S DONUT SHOP, INC.",43037,,Revoked Entity
Sonya's Inc.,12686,,Revoked Entity
"Sonya's Signature Salon, LLC",941914,,Revoked Entity
"Sonzie Restoration & Construction, LLC",1660040,,Revoked Entity
SOSA & SON HEATING-AC AND REFRIGERATION CORP,530374,238220,
"Sprague & Son, L.L.C.",1690051,,
Sterling & Son Investments LLC,1659574,531110,
"Suchocki & Son, Inc.",1657928,237990,
"T. F. Monahan & Son, Inc.",12166,229999,
"TAILOR'S Son, LLC",1691210,,
"Tallo & Son Construction, LLC",1700724,,
Teixeira & Son Excavation Inc.,131328,423320,
"The Barber's Son, LLC",1684838,523930,
The Mr. And Mrs. Robert N. Chapman and Their Son Robert B. Chapman Charitable Foundation,160605,813319,
The son you always wanted construction L.L.C.,508180,,Revoked Entity
"The Son You Always Wanted Construction, LLC",138061,,Revoked Entity
"THOMAS J. PRINCIPE & SON, INC.",37463,236115,
"V. BEVILACQUA & SON, INC",55530,813910,
Vasquez & Son's Enterprises LLP,1672172,,
Wally & Son's Express LLC,1673840,481112,
"William Coon & Son, Inc.",525705,238910,
"William J. Smith & Son, Inc.",12239,812210,
